"","Sample","Patient_ID","Microbiota","DNA_concentration","Experiment","Plate","Well_nextera","Adapter_plate","AdapterN","AdapterS","Tissue","Mouse","Sex","Survived","DEAD_DOL","Collection","Date.of.Extraction","Antibiotic","DOL","Antibiotic_day","Abx_relative","Abx_relativeinfxn","Infection","DPI","Adult","Notes","Total_Preprocessed_Reads","Total_Postprocessed_Reads","retainedreads","Resequence_DNA_concentration","Reseq_total_preprocessed_reads","Reseq_total_postprocessed_reads","Reseq_retainedreads","original_preprocessed_reads","original_postprocessed_reads","Resequence_Nextera","Resequence_nextera_plate","AdapterN2","AdapterS3"
"394","GF2_A6_d33","40.01 (11/14/09)","B","6.39","GF2","GF2/3 1","H8","5","N703","S620","stool","A6",NA,"yes",NA,"33","","meropenem","15","5","aftermero","aftermero","C. rodentium","-1","no","",1393887,318329,"22.83750404","",NA,NA,NA,NA,NA,"",NA,"",""
"408","GF20_d36_b5","40.01 (11/14/09)","B","6.019","GF20","","C10","3","AM-F0251","AM-R0251","colon","b5","M","yes",NA,"36","","meropenem/probenecid","13","3","aftermero","aftermero",NA,NA,"no","",3058381,84989,"2.778888569","",NA,NA,NA,NA,NA,"",NA,"",""
"455","GF4_B3_d38","40.01 (11/14/09)","B","1.768","GF4","GF4_DNA","C2","5","N713","S514","stool","B3","F","yes",NA,"38","","meropenem/probenecid","13","3","aftermero","aftermero","E. coli","-1","no","",1810188,1308420,"72.28089016","",NA,NA,NA,NA,NA,"",NA,"",""
"456","GF4_B4_d38","40.01 (11/14/09)","B","1.138","GF4","GF4_DNA","C3","5","N710","S615","stool","B4",NA,"no","15","38","","meropenem/probenecid","13","3","aftermero","aftermero","E. coli","-1","no","",1568208,1124619,"71.71363748","",NA,NA,NA,NA,NA,"",NA,"",""
"457","GF5_A1_COLON_190628","40.01 (11/14/09)","B","10.121","GF5","GF5","C10","9","N820","S534","colon","A_1_1","M","yes",NA,"49","","meropenem/probenecid","13","3","aftermero","aftermero",NA,NA,"no","",860505,86452,"10.04665865","",NA,NA,NA,NA,NA,"",NA,"",""
"459","GF5_A1_D83","40.01 (11/14/09)","B","0.051","GF5","GF5","G3","9","N820","S527","stool","A_3_1","F","yes",NA,"83","","meropenem/probenecid","14",NA,"aftermero","aftermero","E. coli","0","no","",1109699,901177,"81.20913869","",NA,NA,NA,NA,NA,"",NA,"",""
"460","GF5_A2_COLON_190628","40.01 (11/14/09)","B","1.335","GF5","GF5","C11","9","N819","S535","colon","A_1_2","M","yes",NA,"49","","meropenem/probenecid","13","3","aftermero","aftermero",NA,NA,"no","",2830660,60975,"2.154091272","",NA,NA,NA,NA,NA,"",NA,"",""
"461","GF5_A3_COLON_190628","40.01 (11/14/09)","B","3.28","GF5","GF5","C12","9","N818","S536","colon","A_1_3","M","yes",NA,"49","","meropenem/probenecid","13","3","aftermero","aftermero",NA,NA,"no","",2295079,128237,"5.58747651","",NA,NA,NA,NA,NA,"",NA,"",""
"464","GF5_A6_D82","40.01 (11/14/09)","B","LOW","GF5","GF5","F10","9","N821","S534","stool","A_3_6",NA,"yes",NA,"82","","meropenem/probenecid","13","3","aftermero","aftermero","E. coli","-1","no","",2680160,274196,"10.23058325","",NA,NA,NA,NA,NA,"",NA,"",""
"466","GF5_A7_D82","40.01 (11/14/09)","B","2.43","GF5","GF5","F11","9","N821","S535","stool","A_3_7","F","yes",NA,"82","","meropenem/probenecid","13","3","aftermero","aftermero","E. coli","-1","no","",2700641,1760947,"65.20477916","",NA,NA,NA,NA,NA,"",NA,"",""
"467","GF5_A7_D83","40.01 (11/14/09)","B","2.57","GF5","GF5","G4","9","N823","S528","stool","A_3_7","F","yes",NA,"83","","meropenem/probenecid","14",NA,"aftermero","aftermero","E. coli","0","no","",976705,901985,"92.34978832","",NA,NA,NA,NA,NA,"",NA,"",""
"468","GF5_A8_D83","40.01 (11/14/09)","B","3.991","GF5","GF5","G5","9","N819","S529","stool","A_3_8","F","yes",NA,"83","","meropenem/probenecid","14",NA,"aftermero","aftermero","E. coli","0","no","",1450146,1314307,"90.63273629","",NA,NA,NA,NA,NA,"",NA,"",""
"473","GF6_B1_D91","40.01 (11/14/09)","B","0.869","GF6","GF6","F12","1","N701","S512","stool","B_3_1","M","yes",NA,"91","","meropenem/probenecid","14",NA,"aftermero","aftermero","E. coli","0","no","",3886432,1453520,"37.39985673","",NA,NA,NA,NA,NA,"",NA,"",""
"474","GF6_B3_D91","40.01 (11/14/09)","B","6.846","GF6","GF6","G2","1","N705","S502","stool","B_3_3","M","yes",NA,"91","","meropenem/probenecid","14",NA,"aftermero","aftermero","E. coli","0","no","",2389912,1059920,"44.34975012","",NA,NA,NA,NA,NA,"",NA,"",""
"476","GF6_B5_D90","40.01 (11/14/09)","B","0.624","GF6","GF6","F6","1","N704","S506","stool","B_3_5","F","yes",NA,"90","","meropenem/probenecid","13","3","aftermero","aftermero","E. coli","-1","no","",1671106,551460,"32.99970199","",NA,NA,NA,NA,NA,"",NA,"",""
"477","GF6_B5_D91","40.01 (11/14/09)","B","0.762","GF6","GF6","G1","1","N705","S501","stool","B_3_5","F","yes",NA,"91","","meropenem/probenecid","14",NA,"aftermero","aftermero","E. coli","0","no","",5107866,1738648,"34.03863766","",NA,NA,NA,NA,NA,"",NA,"",""
"478","GF6_B6_D90","40.01 (11/14/09)","B","2.856","GF6","GF6","F8","1","N704","S508","stool","B_3_6","M","yes",NA,"90","","meropenem/probenecid","13","3","aftermero","aftermero","E. coli","-1","no","",2368334,500962,"21.15250636","",NA,NA,NA,NA,NA,"",NA,"",""
"479","GF6_B6_D91","40.01 (11/14/09)","B","2.321","GF6","GF6","G3","1","N705","S503","stool","B_3_6","M","yes",NA,"91","","meropenem/probenecid","14",NA,"aftermero","aftermero","E. coli","0","no","",2042556,361013,"17.67457049","",NA,NA,NA,NA,NA,"",NA,"",""
"480","GF6_B7_D90","40.01 (11/14/09)","B","0.829","GF6","GF6","F7","1","N704","S507","stool","B_3_7","F","yes",NA,"90","","meropenem/probenecid","13","3","aftermero","aftermero","E. coli","-1","no","",3678668,1397663,"37.9937249","",NA,NA,NA,NA,NA,"",NA,"",""
"481","GF6_B7_D91","40.01 (11/14/09)","B","1.09","GF6","GF6","G4","1","N707","S504","stool","B_3_7","F","yes",NA,"91","","meropenem/probenecid","14",NA,"aftermero","aftermero","E. coli","0","no","",1809998,219488,"12.12642224","",NA,NA,NA,NA,NA,"",NA,"",""
"482","GF6_B8_D91","40.01 (11/14/09)","B","0.529","GF6","GF6","G5","1","N708","S505","stool","B_3_8","F","yes",NA,"91","","meropenem/probenecid","14",NA,"aftermero","aftermero","E. coli","0","no","",3721394,1457927,"39.17690521","",NA,NA,NA,NA,NA,"",NA,"",""
"503","Gn3_B13_Cwash","","B","","gnoto3","","","","","","colon","B13","M","yes",NA,"","","meropenem/probenecid","13","3","aftermero","aftermero",NA,NA,"no","",746268,129377,"17.33653326","",NA,NA,NA,NA,NA,"",NA,"",""
"627","GF2_A1_d37","40.01 (11/14/09)","B","21","GF2","GF2/3 1","H7","5","N712","S519","stool","A1",NA,"yes",NA,"37","","meropenem","19",NA,"aftermero","aftermeroafter","C. rodentium","3","no","",4895974,4141183,"84.58343529","",NA,NA,NA,NA,NA,"",NA,"",""
"628","GF2_A1_d39","40.01 (11/14/09)","B","19.7","GF2","GF2_1","F6","3","N704","S530","stool","A1",NA,"yes",NA,"39","","meropenem","21",NA,"aftermero","aftermeroafter","C. rodentium","5","no","",1314821,1040696,"79.15115442","",NA,NA,NA,NA,NA,"",NA,"",""
"629","GF2_A1_day41","40.01 (11/14/09)","B","22.8","GF2","GF2_2","D4","6","N706","S528","stool","A1",NA,"yes",NA,"41","","meropenem","23",NA,"aftermero","aftermeroafter","C. rodentium","7","no","",548204,461105,"84.11193643","",NA,NA,NA,NA,NA,"",NA,"",""
"630","GF2_A1_day42","40.01 (11/14/09)","B","0.979","GF2","GF2/3 1","H12","5","N706","S524","stool","A1",NA,"yes",NA,"42","","meropenem","24",NA,"aftermero","aftermeroafter","C. rodentium","8","no","",1502009,946132,"62.99110059","",NA,NA,NA,NA,NA,"",NA,"",""
"631","GF2_A1_day44","40.01 (11/14/09)","B","2.91","GF2","Anna's plate 4","C5","4","N702","S505","stool","A1",NA,"yes",NA,"44","","meropenem","26",NA,"aftermero","aftermeroafter","C. rodentium","10","no","",1550595,952966,"61.45808544","",NA,NA,NA,NA,NA,"",NA,"",""
"632","GF2_A2_Colon","40.01 (11/14/09)","B","6.19","GF2","GF2_2","A7","6","N703","S531","colon","A2",NA,"yes",NA,"45","","meropenem","27",NA,"aftermero","aftermeroafter","C. rodentium","11","no","",3465307,1364111,"39.3647951","",NA,NA,NA,NA,NA,"",NA,"",""
"633","GF2_A2_d36","40.01 (11/14/09)","B","5.3","GF2","GF2_1","E10","3","N815","S534","stool","A2",NA,"yes",NA,"36","","meropenem","18",NA,"aftermero","aftermeroafter","C. rodentium","2","no","",852431,722702,"84.78129022","",NA,NA,NA,NA,NA,"",NA,"",""
"634","GF2_A2_D37","40.01 (11/14/09)","B","5.33","GF2","GF2_1","F2","3","N711","S526","stool","A2",NA,"yes",NA,"37","","meropenem","19",NA,"aftermero","aftermeroafter","C. rodentium","3","no","",577285,340521,"58.98663572","",NA,NA,NA,NA,NA,"",NA,"",""
"635","GF2_A2_d39","40.01 (11/14/09)","B","24.4","GF2","GF2_1","F7","3","N815","S531","stool","A2",NA,"yes",NA,"39","","meropenem","21",NA,"aftermero","aftermeroafter","C. rodentium","5","no","",1276546,1095670,"85.83082787","",NA,NA,NA,NA,NA,"",NA,"",""
"636","GF2_A2_day41","40.01 (11/14/09)","B","23.5","GF2","GF2_2","D5","6","N706","S529","stool","A2",NA,"yes",NA,"41","","meropenem","23",NA,"aftermero","aftermeroafter","C. rodentium","7","no","",637041,532161,"83.53638149","",NA,NA,NA,NA,NA,"",NA,"",""
"637","GF2_A2_day42","40.01 (11/14/09)","B","22.5","GF2","Anna's plate 4","C1","4","N702","S501","stool","A2",NA,"yes",NA,"42","","meropenem","24",NA,"aftermero","aftermeroafter","C. rodentium","8","no","",2232136,1912370,"85.67443919","",NA,NA,NA,NA,NA,"",NA,"",""
"638","GF2_A2_day44","40.01 (11/14/09)","B","36.9","GF2","Anna's plate 4","C6","4","N815","S506","stool","A2",NA,"yes",NA,"44","","meropenem","26",NA,"aftermero","aftermeroafter","C. rodentium","10","no","",1802622,1481304,"82.17496513","",NA,NA,NA,NA,NA,"",NA,"",""
"639","GF2_A3_Colon","40.01 (11/14/09)","B","11.3","GF2","GF2_2","A8","6","N815","S532","colon","A3",NA,"yes",NA,"45","","meropenem","27",NA,"aftermero","aftermeroafter","C. rodentium","11","no","",2434629,929883,"38.19403285","",NA,NA,NA,NA,NA,"",NA,"",""
"640","GF2_A3_d37","40.01 (11/14/09)","B","33.5","GF2","GF2_1","F3","3","N712","S527","stool","A3",NA,"yes",NA,"37","","meropenem","19",NA,"aftermero","aftermeroafter","C. rodentium","3","no","",837009,721426,"86.19094896","",NA,NA,NA,NA,NA,"",NA,"",""
"641","GF2_A3_d39","40.01 (11/14/09)","B","19.7","GF2","GF2_1","F8","3","N711","S532","stool","A3",NA,"yes",NA,"39","","meropenem","21",NA,"aftermero","aftermeroafter","C. rodentium","5","no","",767206,598456,"78.00460372","",NA,NA,NA,NA,NA,"",NA,"",""
"642","GF2_A3_day41","40.01 (11/14/09)","B","64.7","GF2","Anna's plate 4","D7","4","N706","S507","stool","A3",NA,"yes",NA,"41","","meropenem","23",NA,"aftermero","aftermeroafter","C. rodentium","7","no","",1693032,1402349,"82.83062576","",NA,NA,NA,NA,NA,"",NA,"",""
"644","GF2_A4_Colon","40.01 (11/14/09)","B","16.4","GF2","GF2_2","A9","6","N703","S533","colon","A4",NA,"yes",NA,"45","","meropenem","27",NA,"aftermero","aftermeroafter","C. rodentium","11","no","",2717513,763280,"28.08744613","",NA,NA,NA,NA,NA,"",NA,"",""
"645","GF2_A4_d36","40.01 (11/14/09)","B","18.9","GF2","GF2/3 1","H5","5","N815","S617","stool","A4",NA,"yes",NA,"36","","meropenem","18",NA,"aftermero","aftermeroafter","C. rodentium","2","no","",1199668,1024795,"85.42321709","",NA,NA,NA,NA,NA,"",NA,"",""
"646","GF2_A4_d37","40.01 (11/14/09)","B","21.3","GF2","GF2_1","F4","3","N712","S528","stool","A4",NA,"yes",NA,"37","","meropenem","19",NA,"aftermero","aftermeroafter","C. rodentium","3","no","",1901055,1609817,"84.68019074","",NA,NA,NA,NA,NA,"",NA,"",""
"647","GF2_A4_D39","40.01 (11/14/09)","B","24.1","GF2","GF2_1","F9","3","N815","S533","stool","A4",NA,"yes",NA,"39","","meropenem","21",NA,"aftermero","aftermeroafter","C. rodentium","5","no","",643345,433365,"67.36121366","",NA,NA,NA,NA,NA,"",NA,"",""
"648","GF2_A4_day41","40.01 (11/14/09)","B","46.7","GF2","Anna's plate 4","D8","4","N702","S508","stool","A4",NA,"yes",NA,"41","","meropenem","23",NA,"aftermero","aftermeroafter","C. rodentium","7","no","",1555296,1344063,"86.41846954","",NA,NA,NA,NA,NA,"",NA,"",""
"649","GF2_A4_day42","40.01 (11/14/09)","B","17.6","GF2","Anna's plate 4","C3","4","N712","S503","stool","A4",NA,"yes",NA,"42","","meropenem","24",NA,"aftermero","aftermeroafter","C. rodentium","8","no","",1612136,1241398,"77.00330493","",NA,NA,NA,NA,NA,"",NA,"",""
"650","GF2_A4_day44","40.01 (11/14/09)","B","6.5","GF2","Anna's plate 4","C7","4","N704","S507","stool","A4",NA,"yes",NA,"44","","meropenem","26",NA,"aftermero","aftermeroafter","C. rodentium","10","no","",1747712,1136130,"65.00670591","",NA,NA,NA,NA,NA,"",NA,"",""
"651","GF2_A5_Colon","40.01 (11/14/09)","B","12.1","GF2","GF2_2","A10","6","N711","S534","colon","A5",NA,"yes",NA,"45","","meropenem","27",NA,"aftermero","aftermeroafter","C. rodentium","11","no","",1602871,651684,"40.65729557","",NA,NA,NA,NA,NA,"",NA,"",""
"652","GF2_A5_d39","40.01 (11/14/09)","B","33.1","GF2","GF2_1","F10","3","N712","S534","stool","A5",NA,"yes",NA,"39","","meropenem","21",NA,"aftermero","aftermeroafter","C. rodentium","5","no","",1214368,984337,"81.05755422","",NA,NA,NA,NA,NA,"",NA,"",""
"653","GF2_A5_day42","40.01 (11/14/09)","B","19.4","GF2","Anna's plate 4","C4","4","N706","S504","stool","A5",NA,"yes",NA,"42","","meropenem","24",NA,"aftermero","aftermeroafter","C. rodentium","8","no","",178648,66691,"37.33095249","",NA,NA,NA,NA,NA,"",NA,"",""
"654","GF2_A6_Colon","40.01 (11/14/09)","B","6.67","GF2","Anna's plate 4","D3","4","N702","S503","colon","A6",NA,"yes",NA,"45","","meropenem","27",NA,"aftermero","aftermeroafter","C. rodentium","11","no","",1308059,295562,"22.59546397","",NA,NA,NA,NA,NA,"",NA,"",""
"655","GF2_A6_d36","40.01 (11/14/09)","B","66.4","GF2","GF2/3 1","H6","5","N815","S618","stool","A6",NA,"yes",NA,"36","","meropenem","18",NA,"aftermero","aftermeroafter","C. rodentium","2","no","",1420537,1304453,"91.82816076","",NA,NA,NA,NA,NA,"",NA,"",""
"656","GF2_A6_d37","40.01 (11/14/09)","B","19.6","GF2","GF2_1","F5","3","N712","S529","stool","A6",NA,"yes",NA,"37","","meropenem","19",NA,"aftermero","aftermeroafter","C. rodentium","3","no","",1498217,1300074,"86.77474625","",NA,NA,NA,NA,NA,"",NA,"",""
