Sample	taxa	abundance
C3-d44	o__Enterobacterales	10.03222
C3-d44	o__Lactobacillales	1.1243
C3-d45	o__Clostridiales	69.64693
C3-d45	o__Erysipelotrichales	16.33307
C3-d45	o__Enterobacterales	12.79533
C3-d45	o__Lactobacillales	1.22467
C3-d53	o__Clostridiales	64.89535
C3-d53	o__Erysipelotrichales	20.6894
C3-d53	o__Enterobacterales	6.82437
C3-d53	o__Veillonellales	6.45614
C3-d53	o__Lactobacillales	1.13475
C4-d33	o__Enterobacterales	55.13516
C4-d33	o__Lactobacillales	39.26759
C4-d33	o__Clostridiales	5.59725
C4-d44	o__Clostridiales	72.98907
C4-d44	o__Erysipelotrichales	15.82774
C4-d44	o__Enterobacterales	9.63148
C4-d44	o__Lactobacillales	1.52302
C4-d44	o__Veillonellales	0.02869
C4-d45	o__Clostridiales	66.96884
C4-d45	o__Erysipelotrichales	30.62652
C4-d45	o__Enterobacterales	2.40464
C4-d53	o__Clostridiales	70.86327
C4-d53	o__Erysipelotrichales	14.67526
C4-d53	o__Enterobacterales	7.05318
C4-d53	o__Veillonellales	6.13363
C4-d53	o__Lactobacillales	1.27466
C5-d34	o__Lactobacillales	71.29989
C5-d34	o__Enterobacterales	17.46433
C5-d34	o__Clostridiales	10.99422
C5-d34	o__Erysipelotrichales	0.24155
C5-d44	o__Clostridiales	71.48558
C5-d44	o__Erysipelotrichales	19.02976
C5-d44	o__Enterobacterales	7.81436
C5-d44	o__Lactobacillales	1.6703
C5-d45	o__Clostridiales	76.69648
C5-d45	o__Erysipelotrichales	16.02173
C5-d45	o__Enterobacterales	5.70595
C5-d45	o__Lactobacillales	1.57584
C5-d53	o__Clostridiales	71.1498
C5-d53	o__Erysipelotrichales	15.24924
C5-d53	o__Enterobacterales	6.60598
C5-d53	o__Veillonellales	5.78406
C5-d53	o__Lactobacillales	1.21093
C6-d33	o__Lactobacillales	86.44359
C6-d33	o__Enterobacterales	13.45539
C6-d33	o__Clostridiales	0.10102
C6-d37	o__Enterobacterales	60.15451
C6-d37	o__Lactobacillales	34.09464
C6-d37	o__Clostridiales	4.7698
C6-d37	o__Erysipelotrichales	0.98104
C6-d44	o__Clostridiales	53.23836
C6-d44	o__Erysipelotrichales	22.64526
C6-d44	o__Enterobacterales	21.39518
C6-d44	o__Lactobacillales	2.72121
C6-d49	o__Clostridiales	75.09269
C6-d49	o__Erysipelotrichales	15.67005
C6-d49	o__Veillonellales	4.08214
C6-d49	o__Enterobacterales	3.84863
C6-d49	o__Lactobacillales	1.30648
C6-d53	o__Clostridiales	75.19974
C6-d53	o__Erysipelotrichales	12.22493
C6-d53	o__Enterobacterales	5.92764
C6-d53	o__Veillonellales	5.34375
C6-d53	o__Lactobacillales	1.14587
C6-d53	o__Tissierellales	0.15807
C7-d33	o__Lactobacillales	58.84773
C7-d33	o__Enterobacterales	39.77232
C7-d33	o__Clostridiales	1.37995
C7-d38	o__Enterobacterales	62.78046
C7-d38	o__Lactobacillales	16.63315
C7-d38	o__Clostridiales	11.42444
C7-d38	o__Erysipelotrichales	9.16195
C7-d44	o__Clostridiales	62.99491
C7-d44	o__Erysipelotrichales	20.0141
C7-d44	o__Enterobacterales	15.46695
C7-d44	o__Lactobacillales	1.52403
C7-d45	o__Clostridiales	73.35022
C7-d45	o__Erysipelotrichales	15.03512
C7-d45	o__Enterobacterales	10.02705
C7-d45	o__Lactobacillales	1.58762
C7-d53	o__Clostridiales	61.6641
C7-d53	o__Erysipelotrichales	19.81234
C7-d53	o__Enterobacterales	10.62078
C7-d53	o__Veillonellales	6.03236
C7-d53	o__Lactobacillales	1.79079
C7-d53	o__Actinomycetales	0.07964
C8-d35	o__Enterobacterales	93.05069
C8-d35	o__Lactobacillales	5.67263
C8-d35	o__Clostridiales	1.27668
C8-d38	o__Clostridiales	38.32331
C8-d38	o__Lactobacillales	21.67674
C8-d38	o__Erysipelotrichales	20.88168
C8-d38	o__Enterobacterales	19.11827
C8-d44	o__Clostridiales	58.50809
C8-d44	o__Erysipelotrichales	25.0592
C8-d44	o__Enterobacterales	12.32621
C8-d44	o__Lactobacillales	4.1065
C8-d45	o__Clostridiales	69.05419
C8-d45	o__Erysipelotrichales	22.60384
C8-d45	o__Enterobacterales	5.84475
C8-d45	o__Lactobacillales	2.49721
C8-d53	o__Clostridiales	71.73469
C8-d53	o__Erysipelotrichales	15.57288
C8-d53	o__Enterobacterales	5.85754
C8-d53	o__Veillonellales	5.70629
C8-d53	o__Lactobacillales	1.12861
CONV_MERO1_COLON	o__Lactobacillales	51.80815
CONV_MERO1_COLON	o__Bacteroidales	32.01625
CONV_MERO1_COLON	o__Clostridiales	16.1756
CONV_MERO1_D0	o__Lactobacillales	44.97985
CONV_MERO1_D0	o__Verrucomicrobiales	43.61721
CONV_MERO1_D0	o__Bacteroidales	5.81218
CONV_MERO1_D0	o__Clostridiales	5.59076
CONV_MERO1_D1	o__Lactobacillales	89.60055
CONV_MERO1_D1	o__Verrucomicrobiales	9.79566
CONV_MERO1_D1	o__Clostridiales	0.33459
CONV_MERO1_D1	o__Bacteroidales	0.26921
CONV_MERO1_D3	o__Lactobacillales	96.84139
CONV_MERO1_D3	o__Clostridiales	3.15861
CONV_MERO2_COLON	o__Lactobacillales	43.21215
CONV_MERO2_COLON	o__Clostridiales	42.2165
CONV_MERO2_COLON	o__Bacteroidales	14.57135
CONV_MERO2_D0	o__Verrucomicrobiales	48.21463
CONV_MERO2_D0	o__Lactobacillales	30.49291
CONV_MERO2_D0	o__Bacteroidales	10.64572
CONV_MERO2_D0	o__Clostridiales	10.44391
CONV_MERO2_D0	o__Enterobacterales	0.20283
CONV_MERO2_D3	o__Lactobacillales	99.69623
CONV_MERO2_D3	o__Clostridiales	0.30377
CONV_MERO3_COLON	o__Bacteroidales	94.05712
CONV_MERO3_COLON	o__Lactobacillales	4.56523
CONV_MERO3_COLON	o__Clostridiales	1.37764
CONV_MERO3_D1	o__Lactobacillales	49.58784
CONV_MERO3_D1	o__Bacteroidales	26.41518
CONV_MERO3_D1	o__Clostridiales	23.99699
CONV_MERO3_D3	o__Bacteroidales	90.40058
CONV_MERO3_D3	o__Clostridiales	5.41554
CONV_MERO3_D3	o__Lactobacillales	4.18388
CONV_MERO4_COLON	o__Lactobacillales	43.26364
CONV_MERO4_COLON	o__Clostridiales	32.57173
CONV_MERO4_COLON	o__Bacteroidales	24.16463
CONV_MERO4_D0	o__Bacteroidales	77.75885
CONV_MERO4_D0	o__Lactobacillales	9.77129
CONV_MERO4_D0	o__Verrucomicrobiales	7.97338
CONV_MERO4_D0	o__Clostridiales	3.43882
CONV_MERO4_D0	o__Burkholderiales	1.05766
CONV_MERO4_D1	o__Clostridiales	99.64668
CONV_MERO4_D1	o__Lactobacillales	0.35332
CONV_MERO4_D3	o__Clostridiales	67.88715
CONV_MERO4_D3	o__Lactobacillales	32.11285
CONV_PBS1_COLON	o__Clostridiales	49.16072
CONV_PBS1_COLON	o__Bacteroidales	33.8989
CONV_PBS1_COLON	o__Verrucomicrobiales	7.51078
CONV_PBS1_COLON	o__Lactobacillales	6.98937
CONV_PBS1_COLON	o__Burkholderiales	2.44024
CONV_PBS1_D0	o__Verrucomicrobiales	74.77864
CONV_PBS1_D0	o__Lactobacillales	19.54352
CONV_PBS1_D0	o__Clostridiales	4.33203
CONV_PBS1_D0	o__Bacteroidales	1.34581
CONV_PBS1_D3	o__Bacteroidales	70.6241
CONV_PBS1_D3	o__Verrucomicrobiales	13.09525
CONV_PBS1_D3	o__Clostridiales	9.70827
CONV_PBS1_D3	o__Lactobacillales	3.35597
CONV_PBS1_D3	o__Enterobacterales	1.64461
CONV_PBS1_D3	o__Burkholderiales	1.57181
CONV_PBS2_COLON	o__Bacteroidales	60.23488
CONV_PBS2_COLON	o__Clostridiales	29.74769
CONV_PBS2_COLON	o__Verrucomicrobiales	6.6942
CONV_PBS2_COLON	o__Burkholderiales	1.89022
CONV_PBS2_COLON	o__Lactobacillales	1.433
CONV_PBS2_D1	o__Bacteroidales	51.79965
CONV_PBS2_D1	o__Verrucomicrobiales	21.99303
CONV_PBS2_D1	o__Clostridiales	13.52174
CONV_PBS2_D1	o__Lactobacillales	7.94678
CONV_PBS2_D1	o__Burkholderiales	3.508
CONV_PBS2_D1	o__Enterobacterales	1.12966
CONV_PBS2_D1	o__Proteobacteria_unclassified	0.10116
CONV_PBS2_D3	o__Bacteroidales	74.31692
CONV_PBS2_D3	o__Verrucomicrobiales	12.72496
CONV_PBS2_D3	o__Clostridiales	7.65862
CONV_PBS2_D3	o__Lactobacillales	3.14713
CONV_PBS2_D3	o__Burkholderiales	2.15237
CONV_PBS3_COLON	o__Bacteroidales	47.30147
CONV_PBS3_COLON	o__Clostridiales	46.59387
CONV_PBS3_COLON	o__Verrucomicrobiales	5.25609
CONV_PBS3_COLON	o__Burkholderiales	0.84857
CONV_PBS3_D1	o__Clostridiales	34.88361
CONV_PBS3_D1	o__Erysipelotrichales	22.16733
CONV_PBS3_D1	o__Bacteroidales	13.9034
CONV_PBS3_D1	o__Verrucomicrobiales	11.0466
CONV_PBS3_D1	o__Lactobacillales	7.62189
CONV_PBS3_D1	o__Enterobacterales	5.56644
CONV_PBS3_D1	o__Tissierellales	4.01006
CONV_PBS3_D1	o__Burkholderiales	0.80066
CONV_PBS4_COLON	o__Bacteroidales	54.79447
CONV_PBS4_COLON	o__Clostridiales	29.27232
CONV_PBS4_COLON	o__Verrucomicrobiales	13.50345
CONV_PBS4_COLON	o__Burkholderiales	2.42976
CONV_PBS4_D0	o__Bacteroidales	76.86505
CONV_PBS4_D0	o__Verrucomicrobiales	14.99767
CONV_PBS4_D0	o__Clostridiales	5.39144
CONV_PBS4_D0	o__Lactobacillales	1.35989
CONV_PBS4_D0	o__Burkholderiales	1.17127
CONV_PBS4_D0	o__Enterobacterales	0.21468
CONV_PBS4_D1	o__Bacteroidales	63.7768
CONV_PBS4_D1	o__Clostridiales	18.15167
CONV_PBS4_D1	o__Verrucomicrobiales	15.74604
CONV_PBS4_D1	o__Burkholderiales	1.83929
CONV_PBS4_D1	o__Enterobacterales	0.27939
CONV_PBS4_D1	o__Lactobacillales	0.13255
CONV_PBS4_D1	o__Proteobacteria_unclassified	0.07425
CONV_PBS4_D3	o__Bacteroidales	75.19666
CONV_PBS4_D3	o__Verrucomicrobiales	14.06691
CONV_PBS4_D3	o__Clostridiales	5.49936
CONV_PBS4_D3	o__Lactobacillales	2.78885
CONV_PBS4_D3	o__Burkholderiales	2.29928
CONV_PBS4_D3	o__Proteobacteria_unclassified	0.10446
CONV_PBS4_D3	o__Enterobacterales	0.04449
GF1_A10	o__Clostridiales	61.02846
GF1_A10	o__Erysipelotrichales	19.24484
GF1_A10	o__Enterobacterales	11.09603
GF1_A10	o__Tissierellales	2.85365
GF1_A10	o__Lactobacillales	2.73172
GF1_A10	o__Veillonellales	2.66641
GF1_A10	o__Actinomycetales	0.37889
GF1_B_mom_d32	o__Clostridiales	55.94312
GF1_B_mom_d32	o__Erysipelotrichales	20.10749
GF1_B_mom_d32	o__Enterobacterales	6.54682
GF1_B_mom_d32	o__Veillonellales	5.29674
GF1_B_mom_d32	o__Tissierellales	4.00878
GF1_B_mom_d32	o__Lactobacillales	3.3564
GF1_B_mom_d32	o__Actinomycetales	2.61501
GF1_B_mom_d32	o__Campylobacterales	2.12565
GF1_B10	o__Clostridiales	51.10186
GF1_B10	o__Erysipelotrichales	31.11821
GF1_B10	o__Enterobacterales	9.01956
GF1_B10	o__Veillonellales	4.14865
GF1_B10	o__Lactobacillales	2.79574
GF1_B10	o__Tissierellales	0.96112
GF1_B10	o__Campylobacterales	0.85487
GF1_B14	o__Clostridiales	75.82995
GF1_B14	o__Erysipelotrichales	14.19298
GF1_B14	o__Enterobacterales	3.45688
GF1_B14	o__Veillonellales	3.20471
GF1_B14	o__Lactobacillales	1.83001
GF1_B14	o__Campylobacterales	0.86091
GF1_B14	o__Tissierellales	0.62456
GF1_B17	o__Clostridiales	60.46195
GF1_B17	o__Erysipelotrichales	19.29567
GF1_B17	o__Enterobacterales	7.25958
GF1_B17	o__Veillonellales	4.77978
GF1_B17	o__Lactobacillales	2.36627
GF1_B17	o__Tissierellales	2.2964
GF1_B17	o__Campylobacterales	1.77103
GF1_B17	o__Actinomycetales	1.76933
GF1_B25	o__Clostridiales	64.06079
GF1_B25	o__Erysipelotrichales	15.91911
GF1_B25	o__Veillonellales	4.90961
GF1_B25	o__Enterobacterales	4.6133
GF1_B25	o__Tissierellales	3.95711
GF1_B25	o__Actinomycetales	3.11903
GF1_B25	o__Campylobacterales	1.76194
GF1_B25	o__Lactobacillales	1.65911
GF1_B3_d38	o__Clostridiales	59.13489
GF1_B3_d38	o__Erysipelotrichales	31.03343
GF1_B3_d38	o__Enterobacterales	6.85241
GF1_B3_d38	o__Tissierellales	2.11314
GF1_B3_d38	o__Lactobacillales	0.67903
GF1_B3_d38	o__Actinomycetales	0.18711
