Sample	Species	Abundance
GF24_A1_d74_cwash	Achromobacter_xylosoxidans	0.72182
GF24_A1_d74_cwash	Clostridioides_difficile	0.7034
GF24_A1_d74_cwash	Clostridium_innocuum	0.3969
GF24_A2_36_stool	Klebsiella_aerogenes	86.78201
GF24_A2_36_stool	Klebsiella_pneumoniae	5.2641
GF24_A2_36_stool	Enterococcus_faecalis	3.12937
GF24_A2_36_stool	Clostridioides_difficile	1.63314
GF24_A2_36_stool	Clostridium_perfringens	1.60371
GF24_A2_36_stool	Proteus_mirabilis	0.89383
GF24_A2_36_stool	Clostridium_paraputrificum	0.51025
GF24_A2_36_stool	Escherichia_coli	0.18359
GF24_A2_39_cwash	Clostridium_perfringens	30.88424
GF24_A2_39_cwash	Klebsiella_aerogenes	28.47922
GF24_A2_39_cwash	Clostridium_innocuum	17.22617
GF24_A2_39_cwash	Escherichia_coli	5.97828
GF24_A2_39_cwash	Clostridium_neonatale	4.68498
GF24_A2_39_cwash	Clostridioides_difficile	4.59068
GF24_A2_39_cwash	Clostridium_paraputrificum	3.68074
GF24_A2_39_cwash	Clostridium_sp_7_2_43FAA	3.2926
GF24_A2_39_cwash	Klebsiella_pneumoniae	0.77797
GF24_A2_39_cwash	Enterococcus_faecalis	0.40511
GF24_A2_d108_cwash	Klebsiella_aerogenes	65.05716
GF24_A2_d108_cwash	Achromobacter_xylosoxidans	18.64452
GF24_A2_d108_cwash	Klebsiella_oxytoca	6.81199
GF24_A2_d108_cwash	Klebsiella_pneumoniae	4.59526
GF24_A2_d108_cwash	Clostridium_sp_7_2_43FAA	1.39634
GF24_A2_d108_cwash	Clostridium_paraputrificum	1.0895
GF24_A2_d108_cwash	Clostridium_innocuum	0.97106
GF24_A2_d108_cwash	Enterococcus_faecalis	0.87623
GF24_A2_d108_cwash	Clostridioides_difficile	0.55795
GF24_A2_d131_cwash	Klebsiella_aerogenes	93.02811
GF24_A2_d131_cwash	Achromobacter_xylosoxidans	3.96875
GF24_A2_d131_cwash	Klebsiella_pneumoniae	2.60977
GF24_A2_d131_cwash	Enterococcus_faecalis	0.39337
GF24_A2_d73_stool	Klebsiella_aerogenes	97.30069
GF24_A2_d73_stool	Klebsiella_pneumoniae	1.32219
GF24_A2_d73_stool	Enterococcus_faecalis	1.24658
GF24_A2_d73_stool	Clostridioides_difficile	0.13054
GF24_A3_37_stool	Klebsiella_aerogenes	94.59838
GF24_A3_37_stool	Klebsiella_pneumoniae	4.5155
GF24_A3_37_stool	Enterococcus_faecalis	0.65955
GF24_A3_37_stool	Escherichia_coli	0.22657
GF24_A3_38_stool	Klebsiella_aerogenes	68.34402
GF24_A3_38_stool	Escherichia_coli	23.52833
GF24_A3_38_stool	Klebsiella_pneumoniae	4.40284
GF24_A3_38_stool	Enterococcus_faecalis	2.44983
GF24_A3_38_stool	Clostridioides_difficile	0.91485
GF24_A3_38_stool	Clostridium_paraputrificum	0.28434
GF24_A3_38_stool	Finegoldia_magna	0.07579
GF24_A3_39_cwash	Escherichia_coli	50.96611
GF24_A3_39_cwash	Clostridium_innocuum	19.11068
GF24_A3_39_cwash	Clostridium_paraputrificum	13.65195
GF24_A3_39_cwash	Clostridium_perfringens	6.83074
GF24_A3_39_cwash	Klebsiella_aerogenes	6.51023
GF24_A3_39_cwash	Clostridium_sp_7_2_43FAA	2.84841
GF24_A3_39_cwash	Clostridioides_difficile	0.08189
GF24_A3_d108_cwash	Klebsiella_aerogenes	76.76431
GF24_A3_d108_cwash	Clostridium_sp_7_2_43FAA	8.17398
GF24_A3_d108_cwash	Klebsiella_pneumoniae	6.68912
GF24_A3_d108_cwash	Klebsiella_oxytoca	1.99851
GF24_A3_d108_cwash	Clostridium_paraputrificum	1.81058
GF24_A3_d108_cwash	Achromobacter_xylosoxidans	1.52126
GF24_A3_d108_cwash	Clostridioides_difficile	1.36142
GF24_A3_d108_cwash	Clostridium_innocuum	0.93959
GF24_A3_d108_cwash	Clostridium_neonatale	0.45631
GF24_A3_d108_cwash	Enterococcus_faecalis	0.28492
GF24_A3_d131_cwash	Klebsiella_aerogenes	70.67993
GF24_A3_d131_cwash	Klebsiella_oxytoca	15.61607
GF24_A3_d131_cwash	Klebsiella_pneumoniae	5.60715
