Sample,taxa,abundance
C4-d44,Peptostreptococcaceae,7.80902
C4-d44,Enterococcaceae,1.52302
C4-d44,Morganellaceae,0.35998
C4-d44,Veillonellaceae,0.02869
C4-d45,Clostridiaceae,60.78886
C4-d45,Erysipelotrichaceae,30.62652
C4-d45,Peptostreptococcaceae,6.17998
C4-d45,Enterobacteriaceae,2.40464
C4-d53,Clostridiaceae,62.68176
C4-d53,Erysipelotrichaceae,14.67526
C4-d53,Peptostreptococcaceae,8.18151
C4-d53,Enterobacteriaceae,6.4123
C4-d53,Veillonellaceae,6.13363
C4-d53,Enterococcaceae,1.27466
C4-d53,Morganellaceae,0.64088
C5-d34,Enterococcaceae,71.29989
C5-d34,Enterobacteriaceae,17.46433
C5-d34,Clostridiaceae,7.32267
C5-d34,Peptostreptococcaceae,3.67155
C5-d34,Erysipelotrichaceae,0.24155
C5-d44,Clostridiaceae,61.51265
C5-d44,Erysipelotrichaceae,19.02976
C5-d44,Peptostreptococcaceae,9.97294
C5-d44,Enterobacteriaceae,7.27166
C5-d44,Enterococcaceae,1.6703
C5-d44,Morganellaceae,0.5427
C5-d45,Clostridiaceae,67.48721
C5-d45,Erysipelotrichaceae,16.02173
C5-d45,Peptostreptococcaceae,9.20928
C5-d45,Enterobacteriaceae,5.02127
C5-d45,Enterococcaceae,1.57584
C5-d45,Morganellaceae,0.68468
C5-d53,Clostridiaceae,59.40133
C5-d53,Erysipelotrichaceae,15.24924
C5-d53,Peptostreptococcaceae,11.74847
C5-d53,Enterobacteriaceae,5.9464
C5-d53,Veillonellaceae,5.78406
C5-d53,Enterococcaceae,1.21093
C5-d53,Morganellaceae,0.65957
C6-d33,Enterococcaceae,86.44359
C6-d33,Enterobacteriaceae,13.45539
C6-d33,Peptostreptococcaceae,0.10102
C6-d37,Enterobacteriaceae,60.15451
C6-d37,Enterococcaceae,34.09464
C6-d37,Clostridiaceae,3.42325
C6-d37,Peptostreptococcaceae,1.34655
C6-d37,Erysipelotrichaceae,0.98104
C6-d44,Clostridiaceae,41.50618
C6-d44,Erysipelotrichaceae,22.64526
C6-d44,Enterobacteriaceae,21.06768
C6-d44,Peptostreptococcaceae,11.73218
C6-d44,Enterococcaceae,2.72121
C6-d44,Morganellaceae,0.32749
C6-d49,Clostridiaceae,70.41212
C6-d49,Erysipelotrichaceae,15.67005
C6-d49,Peptostreptococcaceae,4.68058
C6-d49,Veillonellaceae,4.08214
C6-d49,Enterobacteriaceae,3.08094
C6-d49,Enterococcaceae,1.30648
C6-d49,Morganellaceae,0.76769
C6-d53,Clostridiaceae,66.54601
C6-d53,Erysipelotrichaceae,12.22493
C6-d53,Peptostreptococcaceae,8.65374
C6-d53,Veillonellaceae,5.34375
C6-d53,Enterobacteriaceae,5.28754
C6-d53,Enterococcaceae,1.14587
C6-d53,Morganellaceae,0.6401
C6-d53,Peptoniphilaceae,0.15807
C7-d33,Enterococcaceae,58.84773
C7-d33,Enterobacteriaceae,39.77232
C7-d33,Peptostreptococcaceae,0.78265
C7-d33,Clostridiaceae,0.5973
C7-d38,Enterobacteriaceae,62.78046
C7-d38,Enterococcaceae,16.63315
C7-d38,Clostridiaceae,9.25494
C7-d38,Erysipelotrichaceae,9.16195
C7-d38,Peptostreptococcaceae,2.1695
C7-d44,Clostridiaceae,54.16725
C7-d44,Erysipelotrichaceae,20.0141
C7-d44,Enterobacteriaceae,14.84168
C7-d44,Peptostreptococcaceae,8.82766
C7-d44,Enterococcaceae,1.52403
C7-d44,Morganellaceae,0.62527
C7-d45,Clostridiaceae,61.68002
C7-d45,Erysipelotrichaceae,15.03512
C7-d45,Peptostreptococcaceae,11.6702
C7-d45,Enterobacteriaceae,9.0375
C7-d45,Enterococcaceae,1.58762
C7-d45,Morganellaceae,0.98955
C7-d53,Clostridiaceae,50.95227
C7-d53,Erysipelotrichaceae,19.81234
C7-d53,Peptostreptococcaceae,10.71183
C7-d53,Enterobacteriaceae,9.99653
C7-d53,Veillonellaceae,6.03236
C7-d53,Enterococcaceae,1.79079
C7-d53,Morganellaceae,0.62424
C7-d53,Actinomycetaceae,0.07964
C8-d35,Enterobacteriaceae,93.05069
C8-d35,Enterococcaceae,5.67263
C8-d35,Peptostreptococcaceae,0.87009
C8-d35,Clostridiaceae,0.40659
C8-d38,Clostridiaceae,35.99393
C8-d38,Enterococcaceae,21.67674
C8-d38,Erysipelotrichaceae,20.88168
C8-d38,Enterobacteriaceae,19.11827
C8-d38,Peptostreptococcaceae,2.32938
C8-d44,Clostridiaceae,47.71527
C8-d44,Erysipelotrichaceae,25.0592
C8-d44,Enterobacteriaceae,11.72805
C8-d44,Peptostreptococcaceae,10.79282
C8-d44,Enterococcaceae,4.1065
C8-d44,Morganellaceae,0.59816
C8-d45,Clostridiaceae,57.51488
C8-d45,Erysipelotrichaceae,22.60384
C8-d45,Peptostreptococcaceae,11.53931
C8-d45,Enterobacteriaceae,5.19833
C8-d45,Enterococcaceae,2.49721
C8-d45,Morganellaceae,0.64642
C8-d53,Clostridiaceae,61.26181
C8-d53,Erysipelotrichaceae,15.57288
C8-d53,Peptostreptococcaceae,10.47287
C8-d53,Veillonellaceae,5.70629
C8-d53,Enterobacteriaceae,5.16556
C8-d53,Enterococcaceae,1.12861
C8-d53,Morganellaceae,0.69198
CONV_MERO1_COLON,Enterococcaceae,51.80815
CONV_MERO1_COLON,Bacteroidaceae,32.01625
CONV_MERO1_COLON,Peptostreptococcaceae,16.1756
CONV_MERO1_D0,Akkermansiaceae,43.61721
CONV_MERO1_D0,Lactobacillaceae,42.56373
CONV_MERO1_D0,Bacteroidaceae,5.81218
CONV_MERO1_D0,Lachnospiraceae,4.54574
CONV_MERO1_D0,Enterococcaceae,2.41612
CONV_MERO1_D0,Peptostreptococcaceae,1.04501
CONV_MERO1_D1,Lactobacillaceae,88.72675
CONV_MERO1_D1,Akkermansiaceae,9.79566
CONV_MERO1_D1,Enterococcaceae,0.87379
CONV_MERO1_D1,Lachnospiraceae,0.31027
CONV_MERO1_D1,Bacteroidaceae,0.26921
CONV_MERO1_D1,Peptostreptococcaceae,0.02432
CONV_MERO1_D3,Enterococcaceae,96.75582
CONV_MERO1_D3,Peptostreptococcaceae,3.15861
CONV_MERO1_D3,Lactobacillaceae,0.08557
CONV_MERO2_COLON,Enterococcaceae,43.21215
CONV_MERO2_COLON,Peptostreptococcaceae,42.2165
CONV_MERO2_COLON,Bacteroidaceae,14.57135
CONV_MERO2_D0,Akkermansiaceae,48.21463
CONV_MERO2_D0,Lactobacillaceae,23.11782
CONV_MERO2_D0,Bacteroidaceae,10.64572
CONV_MERO2_D0,Lachnospiraceae,10.03855
CONV_MERO2_D0,Enterococcaceae,7.37509
CONV_MERO2_D0,Peptostreptococcaceae,0.40536
CONV_MERO2_D0,Enterobacteriaceae,0.20283
CONV_MERO2_D3,Enterococcaceae,99.69623
CONV_MERO2_D3,Lachnospiraceae,0.30377
CONV_MERO3_COLON,Bacteroidaceae,94.05712
CONV_MERO3_COLON,Enterococcaceae,4.56523
CONV_MERO3_COLON,Peptostreptococcaceae,1.10355
CONV_MERO3_COLON,Lachnospiraceae,0.2741
CONV_MERO3_D1,Enterococcaceae,48.9519
CONV_MERO3_D1,Bacteroidaceae,26.41518
CONV_MERO3_D1,Lachnospiraceae,15.90774
CONV_MERO3_D1,Peptostreptococcaceae,8.08924
CONV_MERO3_D1,Lactobacillaceae,0.63594
CONV_MERO3_D3,Bacteroidaceae,90.40058
CONV_MERO3_D3,Lachnospiraceae,5.15472
CONV_MERO3_D3,Enterococcaceae,4.18388
CONV_MERO3_D3,Peptostreptococcaceae,0.26082
CONV_MERO4_COLON,Enterococcaceae,43.26364
CONV_MERO4_COLON,Bacteroidaceae,24.16463
CONV_MERO4_COLON,Lachnospiraceae,17.19016
CONV_MERO4_COLON,Peptostreptococcaceae,15.38157
CONV_MERO4_D0,Bacteroidaceae,77.75885
CONV_MERO4_D0,Lactobacillaceae,9.77129
CONV_MERO4_D0,Akkermansiaceae,7.97338
CONV_MERO4_D0,Lachnospiraceae,2.9651
CONV_MERO4_D0,Sutterellaceae,1.05766
CONV_MERO4_D0,Peptostreptococcaceae,0.47372
CONV_MERO4_D1,Lachnospiraceae,94.71057
CONV_MERO4_D1,Peptostreptococcaceae,4.93612
CONV_MERO4_D1,Lactobacillaceae,0.35332
CONV_MERO4_D3,Peptostreptococcaceae,66.2791
CONV_MERO4_D3,Enterococcaceae,32.09592
CONV_MERO4_D3,Lachnospiraceae,1.60805
CONV_MERO4_D3,Lactobacillaceae,0.01693
CONV_PBS1_COLON,Lachnospiraceae,46.16518
CONV_PBS1_COLON,Bacteroidaceae,33.8989
CONV_PBS1_COLON,Akkermansiaceae,7.51078
CONV_PBS1_COLON,Lactobacillaceae,6.98937
CONV_PBS1_COLON,Peptostreptococcaceae,2.99553
CONV_PBS1_COLON,Sutterellaceae,2.44024
CONV_PBS1_D0,Akkermansiaceae,74.77864
CONV_PBS1_D0,Lactobacillaceae,18.25381
CONV_PBS1_D0,Lachnospiraceae,3.55555
CONV_PBS1_D0,Bacteroidaceae,1.34581
CONV_PBS1_D0,Enterococcaceae,1.2897
CONV_PBS1_D0,Peptostreptococcaceae,0.77649
CONV_PBS1_D3,Bacteroidaceae,70.6241
CONV_PBS1_D3,Akkermansiaceae,13.09525
CONV_PBS1_D3,Lachnospiraceae,8.43638
CONV_PBS1_D3,Lactobacillaceae,3.16441
CONV_PBS1_D3,Enterobacteriaceae,1.64461
CONV_PBS1_D3,Sutterellaceae,1.57181
CONV_PBS1_D3,Peptostreptococcaceae,1.27189
CONV_PBS1_D3,Enterococcaceae,0.19156
CONV_PBS2_COLON,Bacteroidaceae,60.23488
CONV_PBS2_COLON,Lachnospiraceae,28.85982
CONV_PBS2_COLON,Akkermansiaceae,6.6942
CONV_PBS2_COLON,Sutterellaceae,1.89022
CONV_PBS2_COLON,Lactobacillaceae,1.433
CONV_PBS2_COLON,Peptostreptococcaceae,0.88787
CONV_PBS2_D1,Bacteroidaceae,51.79965
CONV_PBS2_D1,Akkermansiaceae,21.99303
CONV_PBS2_D1,Lachnospiraceae,12.43522
CONV_PBS2_D1,Lactobacillaceae,7.94678
CONV_PBS2_D1,Sutterellaceae,3.508
CONV_PBS2_D1,Enterobacteriaceae,1.12966
CONV_PBS2_D1,Peptostreptococcaceae,1.08651
CONV_PBS2_D1,Proteobacteria_unclassified,0.10116
CONV_PBS2_D3,Bacteroidaceae,74.31692
CONV_PBS2_D3,Akkermansiaceae,12.72496
CONV_PBS2_D3,Lachnospiraceae,7.62189
CONV_PBS2_D3,Lactobacillaceae,3.14713
CONV_PBS2_D3,Sutterellaceae,2.15237
CONV_PBS2_D3,Peptostreptococcaceae,0.03673
CONV_PBS3_COLON,Bacteroidaceae,47.30147
CONV_PBS3_COLON,Lachnospiraceae,46.59387
CONV_PBS3_COLON,Akkermansiaceae,5.25609
CONV_PBS3_COLON,Sutterellaceae,0.84857
CONV_PBS3_D1,Clostridiaceae,27.51881
CONV_PBS3_D1,Erysipelotrichaceae,22.16733
CONV_PBS3_D1,Bacteroidaceae,13.9034
CONV_PBS3_D1,Akkermansiaceae,11.0466
CONV_PBS3_D1,Lactobacillaceae,6.0783
CONV_PBS3_D1,Enterobacteriaceae,5.56644
CONV_PBS3_D1,Lachnospiraceae,4.24862
