Sample,Clostridium_tertium,Clostridium_paraputrificum,Collinsella_SGB47280,Clostridium_neonatale,Clostridioides_difficile,Escherichia_coli,Bifidobacterium_breve,Dysgonomonas_capnocytophagoides,Enterococcus_faecalis,Citrobacter_rodentium,Citrobacter_freundii,Klebsiella_oxytoca,Clostridium_butyricum,Escherichia_marmotae,Clostridium_perfringens,Veillonella_parvula,Varibaculum_cambriense,Peptoniphilus_harei,Klebsiella_michiganensis,Finegoldia_magna,Proteus_mirabilis,Morganella_morganii,Gleimia_europaea,Negativicoccus_succinicivorans,Anaerococcus_obesiensis,Peptoniphilus_lacydonensis,Streptococcus_gordonii,Staphylococcus_aureus,Anaerococcus_hydrogenalis,Cutibacterium_acnes,Streptococcus_thermophilus,Fusobacterium_nucleatum,GGB9832_SGB15480,Clostridium_SGB65123
GF3_C6_day39,4.60239,13.71321,2.71383,13.90539,3.49094,3.84129,44.43589,10.2716,0.51888,0,0.20069,1.86613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43976
GF3_C6_day41,3.68299,13.78068,8.24479,12.66514,4.70585,1.76002,21.79006,19.14309,0.26105,0,0.01326,0.63938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.31369
GF3_C6_day42,1.96437,11.64784,6.07394,12.19023,1.84664,0.61634,32.355,22.44935,1.38168,0,0.05128,0.95948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.46386
GF3_C6_day45,0.4794,9.65155,3.79252,20.41486,1.8821,1.01669,35.38959,16.4336,2.37734,0,0.17374,0.20014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.18846
GF3_C7_day40,19.55313,15.54014,1.60649,7.10769,5.91003,5.38466,18.54645,21.64269,0.19928,0,0,2.03755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.47188
GF3_C7_day41,4.42293,14.39451,4.2647,13.46521,4.81749,2.66406,25.17665,19.06395,0.35158,0,0.08864,1.89502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.39526
GF3_C7_day42,1.70854,8.6676,2.81715,18.70015,2.68871,2.21857,34.07373,19.2452,0.92,0,0.05549,1.13645,0,0,0,0,0,0,0,0,0,0,0.09115,0,0,0,0,0,0,0,0,0,0,7.67727
GF3_C7_day45,1.1381,10.42384,5.16265,25.09357,2.93074,0.40307,31.3157,17.19112,1.26706,0,0,0.10883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.96532
GF3_C8_day30,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF3_C8_day32,0,2.24394,0,0,0.74683,73.7557,0.95603,0,5.86759,0,14.43652,1.99339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF3_C8_day34,0,0,0,0,0,39.45016,0,0,29.02832,0,18.10809,13.41344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF3_C8_day39,7.99045,20.18587,14.73558,12.44127,6.0087,5.26872,7.02985,20.7368,0.98083,0,0.09738,2.6069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.91766
GF3_C8_day40,6.23445,19.15895,6.38657,12.52744,6.77609,5.24606,22.29444,11.71153,0.72024,0,0.21812,2.77121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9549
GF3_C8_day41,5.58394,11.65957,4.72232,18.7696,6.31082,3.23062,30.87423,9.85247,1.05785,0,0.32135,1.41299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.20423
GF3_C8_day42,4.63125,11.02618,5.68786,18.71594,5.23766,1.27284,32.88972,14.94426,2.18018,0,0,1.08083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33327
