Sample	p__Actinobacteria	p__Bacteroidetes	p__Firmicutes	p__Fusobacteria	p__Proteobacteria	p__Verrucomicrobia
GF10_C8_d55	18.27397	0	71.35074	0	10.37529	0
GF10_C9_COLON_D55	0	0	7.19971	0	92.80029	0
GF10_C9_d55	0	0	0	0	0	0
GF10_Cdam_d0	36.5025	0	62.35853	0	1.13896	0
GF10_Cdam_d1	0	0	80.46326	0	19.53674	0
GF10_Cdam_d20	3.83456	0	88.26704	0	7.89841	0
GF10_INOC	0	0	35.73794	0	64.26206	0
GF11_A_DAM_D0	12.99624	0	44.62522	0	42.37855	0
GF11_A1_COLON_D38	18.23328	0	47.4035	0	34.36322	0
GF11_A1_D35	4.61029	0	13.52493	0	81.86477	0
GF11_A1_D37	1.72383	0	26.19261	0	72.08355	0
GF11_A2_COLON_D38	9.85031	0	40.60568	0	49.544	0
GF11_A2_D35	1.80078	0	25.73411	0	72.46512	0
GF11_A2_D36	0	0	24.12052	0	75.87948	0
GF11_A3_D36	0	0	0	0	100	0
GF11_A4_COLON_D38	12.59802	0	37.4091	0	49.99287	0
GF11_A4_D37	0.76533	0	4.3127	0	94.92198	0
GF11_A5_D35	15.51447	0	3.30513	0	81.1804	0
GF11_B_dam_d0	0	0	0	0	0	0
GF11_B_dam_d111	58.71672	0	39.39751	0	1.88577	0
GF11_B_dam_d20	68.40849	0	29.32642	0	2.26508	0
GF11_B_dam_d7	77.25817	0	17.28002	0	5.46181	0
GF11_B1_COLON_D38	9.56416	0	37.92552	0	52.51032	0
GF11_B1_d105_colon	0	0	72.30307	0	27.69693	0
GF11_B1_D36	10.10596	0	44.60062	0	45.29342	0
GF11_B1_d71	1.74694	0	0.01545	0	98.23761	0
GF11_B2_COLON_D38	1.899	0	13.63412	0	84.46688	0
GF11_B2_d105_colon	42.49539	0	50.7313	0	6.77331	0
GF11_B2_D36	13.52404	0	36.44606	0	50.02991	0
GF11_B2_d71	2.01421	0	9.63248	0	88.35331	0
GF11_B2_d73	0	0	0	0	100	0
GF11_B2_d74_colon	0	0	0	0	0	0
GF11_B3_COLON_D38	0	0	7.6351	0	92.3649	0
GF11_B3_d105_colon	57.22703	0	36.2082	0	6.56476	0
GF11_B3_D35	0.66057	0	4.01707	0	95.32235	0
GF11_B3_D37	0	0	0.52405	0	99.47595	0
GF11_B3_d71	0	0	1.86076	0	98.13924	0
GF11_B3_d72_colon	0	0	0	0	0	0
GF11_B4_COLON_D38	0	0	0	0	100	0
GF11_B4_d105_colon	73.63776	0	22.28891	0	4.07333	0
GF11_B4_D35	2.84686	0	13.79192	0	83.36123	0
GF11_B4_D37	0	0	2.83339	0	97.16661	0
GF11_B4_d72	0.18919	0	0	0	99.81081	0
GF11_B4_d73	0	0	0	0	100	0
GF11_B4_d74_colon	0	0	0	0	100	0
GF11_B5_COLON_D38	0	0	0	0	100	0
GF11_B5_d105_colon	26.95436	0	67.8756	0	5.17004	0
GF11_B5_D35	0	0	1.19421	0	98.80579	0
GF11_B5_D37	0	0	0	0	100	0
GF11_B5_d71	0.80902	0	22.24047	0	76.95051	0
GF11_B5_d74_colon	0	0	0	0	100	0
GF11_B6_d105_colon	56.55554	0	40.04385	0	3.40061	0
GF11_B6_d71	0.4296	0	0.35668	0	99.21371	0
GF11_B6_d72_colon	0	0	0	0	0	0
GF11_B7_d105_colon	68.55783	0	15.31638	0	16.1258	0
GF11_B7_d71	1.75825	0	5.95436	0	92.28739	0
GF11_B7_d73	0	0	0	0	100	0
GF11_B7_d74_colon	0	0	74.94234	0	25.05766	0
GF11_B8_d105_colon	61.75206	0	33.72111	0	4.52683	0
GF11_C1_COLON_D38	0	0	0	0	100	0
GF11_C1_D36	4.52859	0	20.02382	0	75.44759	0
GF11_C1_d71	1.23929	0	6.26949	0	92.49122	0
GF11_C1_d74_colon	0	0	70.78273	0	29.21727	0
GF11_C2_COLON_D38	0	0	0	0	0	0
GF11_C2_D37	0	0	5.52805	0	94.47195	0
GF11_C2_d71	0.80053	0	2.49355	0	96.70592	0
GF11_C2_d72	0.26679	0	3.21062	0	96.52259	0
GF11_C2_d74_colon	0	0	90.72472	0	9.27528	0
GF11_C3_COLON_D38	0	0	0	0	100	0
GF11_C3_D35	0.47489	0	1.35672	0	98.16839	0
GF11_C3_D36	5.08537	0	17.43384	0	77.48079	0
GF11_C3_d71	0	0	0	0	100	0
GF11_C3_d74_colon	0	0	66.85723	0	33.14277	0
GF11_C4_COLON_D38	0	0	0	0	100	0
GF11_C4_D35	3.06099	0	12.65621	0	84.2828	0
GF11_C4_D36	2.51938	0	10.15076	0	87.32986	0
GF11_C4_d74_colon	0	0	50.33621	0	49.66379	0
GF11_C5_D37	0	0	7.53571	0	92.46429	0
GF11_C5_d71	0	0	20.43045	0	79.56955	0
GF11_C5_d72	0.85732	0	21.75682	0	77.38586	0
GF11_C5_d74_colon	0	0	60.28012	0	39.71988	0
GF11_C6_d71	3.97129	0	4.52806	0	91.50065	0
GF11_C6_d72	1.85678	0	2.85616	0	95.28705	0
GF11_C6_d74_colon	0	0	79.68391	0	20.31609	0
GF11_C7_d71	1.9835	0	1.52821	0	96.4883	0
GF11_C7_d72_colon	2.44324	0	0	0	97.55676	0
GF11_INOC	14.47768	0	57.80096	0	27.72136	0
GF12_A_dam_d1	0	0	0	0	0	0
GF12_A_dam_d21	9.03382	0	90.96618	0	0	0
GF12_A_Dam_d85	0	0	100	0	0	0
GF12_A1_d31	0	0	100	0	0	0
GF12_A1_d32_colon	0	0	0	0	0	0
GF12_A1_d76_colon	0	0	100	0	0	0
GF12_A2_d32	0	0	100	0	0	0
