Sample	c__Actinobacteria	c__Alphaproteobacteria	c__Bacilli	c__Bacteroidia	c__Betaproteobacteria	c__Clostridia	c__Coriobacteriia	c__Epsilonproteobacteria	c__Erysipelotrichia	c__Fusobacteriia	c__Gammaproteobacteria	c__Negativicutes	c__Proteobacteria_unclassified	c__Tissierellia	c__Verrucomicrobiae
CONV_MERO1_D3	0	0	96.84139	0	0	3.15861	0	0	0	0	0	0	0	0	0
CONV_MERO2_COLON	0	0	43.21215	14.57135	0	42.2165	0	0	0	0	0	0	0	0	0
CONV_MERO2_D0	0	0	30.49291	10.64572	0	10.44391	0	0	0	0	0.20283	0	0	0	48.21463
CONV_MERO2_D3	0	0	99.69623	0	0	0.30377	0	0	0	0	0	0	0	0	0
CONV_MERO3_COLON	0	0	4.56523	94.05712	0	1.37764	0	0	0	0	0	0	0	0	0
CONV_MERO3_D1	0	0	49.58784	26.41518	0	23.99699	0	0	0	0	0	0	0	0	0
CONV_MERO3_D3	0	0	4.18388	90.40058	0	5.41554	0	0	0	0	0	0	0	0	0
CONV_MERO4_COLON	0	0	43.26364	24.16463	0	32.57173	0	0	0	0	0	0	0	0	0
CONV_MERO4_D0	0	0	9.77129	77.75885	1.05766	3.43882	0	0	0	0	0	0	0	0	7.97338
CONV_MERO4_D1	0	0	0.35332	0	0	99.64668	0	0	0	0	0	0	0	0	0
CONV_MERO4_D3	0	0	32.11285	0	0	67.88715	0	0	0	0	0	0	0	0	0
CONV_PBS1_COLON	0	0	6.98937	33.8989	2.44024	49.16072	0	0	0	0	0	0	0	0	7.51078
CONV_PBS1_D0	0	0	19.54352	1.34581	0	4.33203	0	0	0	0	0	0	0	0	74.77864
CONV_PBS1_D3	0	0	3.35597	70.6241	1.57181	9.70827	0	0	0	0	1.64461	0	0	0	13.09525
CONV_PBS2_COLON	0	0	1.433	60.23488	1.89022	29.74769	0	0	0	0	0	0	0	0	6.6942
CONV_PBS2_D1	0	0	7.94678	51.79965	3.508	13.52174	0	0	0	0	1.12966	0	0.10116	0	21.99303
CONV_PBS2_D3	0	0	3.14713	74.31692	2.15237	7.65862	0	0	0	0	0	0	0	0	12.72496
CONV_PBS3_COLON	0	0	0	47.30147	0.84857	46.59387	0	0	0	0	0	0	0	0	5.25609
CONV_PBS3_D1	0	0	7.62189	13.9034	0.80066	34.88361	0	0	22.16733	0	5.56644	0	0	4.01006	11.0466
CONV_PBS4_COLON	0	0	0	54.79447	2.42976	29.27232	0	0	0	0	0	0	0	0	13.50345
CONV_PBS4_D0	0	0	1.35989	76.86505	1.17127	5.39144	0	0	0	0	0.21468	0	0	0	14.99767
CONV_PBS4_D1	0	0	0.13255	63.7768	1.83929	18.15167	0	0	0	0	0.27939	0	0.07425	0	15.74604
CONV_PBS4_D3	0	0	2.78885	75.19666	2.29928	5.49936	0	0	0	0	0.04449	0	0.10446	0	14.06691
CONV_WATER_F12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GF1_A10	0.37889	0	2.73172	0	0	61.02846	0	0	19.24484	0	11.09603	2.66641	0	2.85365	0
GF1_B_mom_d32	2.61501	0	3.3564	0	0	55.94312	0	2.12565	20.10749	0	6.54682	5.29674	0	4.00878	0
GF1_B10	0	0	2.79574	0	0	51.10186	0	0.85487	31.11821	0	9.01956	4.14865	0	0.96112	0
GF1_B14	0	0	1.83001	0	0	75.82995	0	0.86091	14.19298	0	3.45688	3.20471	0	0.62456	0
GF1_B17	1.76933	0	2.36627	0	0	60.46195	0	1.77103	19.29567	0	7.25958	4.77978	0	2.2964	0
GF1_B25	3.11903	0	1.65911	0	0	64.06079	0	1.76194	15.91911	0	4.6133	4.90961	0	3.95711	0
GF1_B3_d38	0.18711	0	0.67903	0	0	59.13489	0	0	31.03343	0	6.85241	0	0	2.11314	0
GF1_B5_D38	0	0	2.32762	0	0	57.2443	0	0	33.25909	0	7.16899	0	0	0	0
GF1_B6_d38	0	0	1.76203	0	0	66.4014	0	0	25.98555	0	5.85102	0	0	0	0
