TaxonomicLevel	Sample	taxa	abundance
phyla	CONV_PBS4_D1	p__Firmicutes	18.28423
phyla	CONV_PBS4_D1	p__Verrucomicrobia	15.74604
phyla	CONV_PBS4_D1	p__Proteobacteria	2.19293
phyla	CONV_PBS4_D3	p__Bacteroidetes	75.19666
phyla	CONV_PBS4_D3	p__Verrucomicrobia	14.06691
phyla	CONV_PBS4_D3	p__Firmicutes	8.28821
phyla	CONV_PBS4_D3	p__Proteobacteria	2.44822
phyla	GF1_A10	p__Firmicutes	88.52508
phyla	GF1_A10	p__Proteobacteria	11.09603
phyla	GF1_A10	p__Actinobacteria	0.37889
phyla	GF1_B_mom_d32	p__Firmicutes	88.71253
phyla	GF1_B_mom_d32	p__Proteobacteria	8.67246
phyla	GF1_B_mom_d32	p__Actinobacteria	2.61501
phyla	GF1_B10	p__Firmicutes	90.12557
phyla	GF1_B10	p__Proteobacteria	9.87443
phyla	GF1_B14	p__Firmicutes	95.68222
phyla	GF1_B14	p__Proteobacteria	4.31778
phyla	GF1_B17	p__Firmicutes	89.20006
phyla	GF1_B17	p__Proteobacteria	9.0306
phyla	GF1_B17	p__Actinobacteria	1.76933
phyla	GF1_B25	p__Firmicutes	90.50574
phyla	GF1_B25	p__Proteobacteria	6.37524
phyla	GF1_B25	p__Actinobacteria	3.11903
phyla	GF1_B3_d38	p__Firmicutes	92.96048
phyla	GF1_B3_d38	p__Proteobacteria	6.85241
phyla	GF1_B3_d38	p__Actinobacteria	0.18711
phyla	GF1_B5_D38	p__Firmicutes	92.83101
phyla	GF1_B5_D38	p__Proteobacteria	7.16899
phyla	GF1_B6_d38	p__Firmicutes	94.14898
phyla	GF1_B6_d38	p__Proteobacteria	5.85102
phyla	GF1_B7_D38	p__Firmicutes	95.11346
phyla	GF1_B7_D38	p__Proteobacteria	4.88654
phyla	GF1_C_mom_d32	p__Firmicutes	93.44472
phyla	GF1_C_mom_d32	p__Proteobacteria	3.97899
phyla	GF1_C_mom_d32	p__Actinobacteria	2.57628
phyla	GF1_C10	p__Firmicutes	88.17865
phyla	GF1_C10	p__Proteobacteria	11.71467
phyla	GF1_C10	p__Actinobacteria	0.10668
phyla	GF1_C14	p__Firmicutes	91.15853
phyla	GF1_C14	p__Proteobacteria	7.39235
phyla	GF1_C14	p__Actinobacteria	1.44912
phyla	GF1_C17	p__Firmicutes	93.721
phyla	GF1_C17	p__Proteobacteria	4.93666
phyla	GF1_C17	p__Actinobacteria	1.34234
phyla	GF1_C25	p__Firmicutes	92.27292
phyla	GF1_C25	p__Proteobacteria	6.21404
phyla	GF1_C25	p__Actinobacteria	1.51305
phyla	GF1_C4_d39	p__Firmicutes	89.86527
phyla	GF1_C4_d39	p__Proteobacteria	10.13473
phyla	GF1_C6_d39	p__Firmicutes	86.49083
phyla	GF1_C6_d39	p__Proteobacteria	13.50917
phyla	GF1_C7_d39	p__Firmicutes	88.62861
phyla	GF1_C7_d39	p__Proteobacteria	11.37139
phyla	GF1_INOC_GF1	p__Proteobacteria	56.20466
phyla	GF1_INOC_GF1	p__Firmicutes	43.7392
phyla	GF1_INOC_GF1	p__Actinobacteria	0.05614
phyla	GF10_A_DAM_D0	p__Proteobacteria	68.08031
phyla	GF10_A_DAM_D0	p__Firmicutes	31.91969
phyla	GF10_A1_COLON_D35	p__Proteobacteria	81.42365
phyla	GF10_A1_COLON_D35	p__Firmicutes	18.57635
phyla	GF10_A1_d101	p__Proteobacteria	75.01317
phyla	GF10_A1_d101	p__Firmicutes	24.98683
phyla	GF10_A1_d104_colon	p__Firmicutes	96.84957
phyla	GF10_A1_d104_colon	p__Proteobacteria	3.15043
phyla	GF10_A1_d127_colon	p__Firmicutes	81.1918
phyla	GF10_A1_d127_colon	p__Proteobacteria	18.8082
phyla	GF10_A1_D32	p__Firmicutes	75.88251
phyla	GF10_A1_D32	p__Proteobacteria	24.11749
phyla	GF10_A1_D34	p__Proteobacteria	90.46194
phyla	GF10_A1_D34	p__Firmicutes	9.53806
phyla	GF10_A1_d77	p__Proteobacteria	94.25334
phyla	GF10_A1_d77	p__Firmicutes	5.74666
phyla	GF10_A1_d79	p__Proteobacteria	100
phyla	GF10_A1_d80_colon	p__Proteobacteria	72.85906
phyla	GF10_A1_d80_colon	p__Firmicutes	27.14094
phyla	GF10_A2_COLON_D35	p__Firmicutes	100
phyla	GF10_A2_d101	p__Proteobacteria	100
phyla	GF10_A2_d103	p__Proteobacteria	97.80008
phyla	GF10_A2_d103	p__Firmicutes	2.19992
phyla	GF10_A2_d104_colon	p__Proteobacteria	94.63025
phyla	GF10_A2_d104_colon	p__Firmicutes	5.36975
phyla	GF10_A2_d127_colon	p__Proteobacteria	100
phyla	GF10_A2_D32	p__Firmicutes	80.79973
phyla	GF10_A2_D32	p__Proteobacteria	19.20027
phyla	GF10_A2_D33	p__Proteobacteria	93.98352
phyla	GF10_A2_D33	p__Firmicutes	6.01648
phyla	GF10_A2_D34	p__Proteobacteria	77.78492
phyla	GF10_A2_D34	p__Firmicutes	22.21508
phyla	GF10_A2_d77	p__Proteobacteria	91.34202
phyla	GF10_A2_d77	p__Firmicutes	8.65798
phyla	GF10_A2_d79	p__Proteobacteria	100
phyla	GF10_A3_COLON_D35	p__Firmicutes	100
phyla	GF10_A3_d104_colon	p__Firmicutes	83.65043
phyla	GF10_A3_d104_colon	p__Proteobacteria	15.99554
phyla	GF10_A3_d104_colon	p__Actinobacteria	0.35403
phyla	GF10_A3_D33	p__Proteobacteria	96.61965
phyla	GF10_A3_D33	p__Firmicutes	3.38035
phyla	GF10_A3_D34	p__Proteobacteria	83.11604
phyla	GF10_A3_D34	p__Firmicutes	16.88396
phyla	GF10_A3_d79	p__Proteobacteria	93.64785
phyla	GF10_A3_d79	p__Firmicutes	6.35215
phyla	GF10_A3_d80_colon	p__Proteobacteria	94.80328
phyla	GF10_A3_d80_colon	p__Firmicutes	5.19672
phyla	GF10_A4_d101	p__Proteobacteria	96.46504
phyla	GF10_A4_d101	p__Firmicutes	3.53496
phyla	GF10_A4_d104_colon	p__Firmicutes	96.28224
phyla	GF10_A4_d104_colon	p__Proteobacteria	3.71776
phyla	GF10_A4_d77	p__Proteobacteria	93.17815
phyla	GF10_A4_d77	p__Firmicutes	6.82185
phyla	GF10_A5_d101	p__Proteobacteria	98.68413
phyla	GF10_A5_d101	p__Firmicutes	1.31587
phyla	GF10_A5_d104_colon	p__Proteobacteria	95.59238
phyla	GF10_A5_d104_colon	p__Firmicutes	4.40762
phyla	GF10_A5_d127_colon	p__Proteobacteria	84.45672
phyla	GF10_A5_d127_colon	p__Firmicutes	15.54328
phyla	GF10_A56_d101	p__Proteobacteria	96.77465
phyla	GF10_A56_d101	p__Firmicutes	3.22535
phyla	GF10_A6_d102	p__Proteobacteria	82.36003
phyla	GF10_A6_d102	p__Firmicutes	17.63997
phyla	GF10_A6_d103	p__Firmicutes	50.98812
phyla	GF10_A6_d103	p__Proteobacteria	49.01188
phyla	GF10_A6_d104_colon	p__Firmicutes	57.11325
phyla	GF10_A6_d104_colon	p__Proteobacteria	42.88675
phyla	GF10_A7_d103	p__Proteobacteria	99.57241
phyla	GF10_A7_d103	p__Firmicutes	0.42759
phyla	GF10_A7_d104_colon	p__Proteobacteria	100
phyla	GF10_A7_d127_colon	p__Proteobacteria	99.55735
phyla	GF10_A7_d127_colon	p__Firmicutes	0.44265
phyla	GF10_A8_d102	p__Proteobacteria	99.20868
phyla	GF10_A8_d102	p__Firmicutes	0.79132
phyla	GF10_A8_d104_colon	p__Firmicutes	75.73513
phyla	GF10_A8_d104_colon	p__Proteobacteria	24.18069
phyla	GF10_A8_d104_colon	p__Actinobacteria	0.08418
phyla	GF10_Adam_d1	p__Firmicutes	83.73109
phyla	GF10_Adam_d1	p__Proteobacteria	16.26891
