Sample	Genus	Abundance
GF21_d95_B7_cwash	g__Enterococcus	73.38341
GF21_d95_B7_cwash	g__Achromobacter	26.61659
GF21_d95_B9_cwash	g__Enterococcus	94.85953
GF21_d95_B9_cwash	g__Achromobacter	5.14047
GF21_d95_C1_cwash	g__Enterococcus	97.69021
GF21_d95_C1_cwash	g__Achromobacter	2.30979
GF21_d95_C2_cwash	g__Achromobacter	51.34693
GF21_d95_C2_cwash	g__Enterococcus	48.65307
GF21_d95_C3_cwash	g__Enterococcus	100.0
GF21_d95_C4_cwash	g__Enterococcus	96.75009
GF21_d95_C4_cwash	g__Achromobacter	3.24991
GF21_d95_C5_cwash	g__Enterococcus	97.77618
GF21_d95_C5_cwash	g__Achromobacter	2.22382
GF21_d95_C8_cwash	g__Achromobacter	100.0
GF21_d95_C9_cwash	g__Staphylococcus	61.75661
GF21_d95_C9_cwash	g__Achromobacter	38.24339
GF27_A1_211118_cwash	g__Enterococcus	49.78847
GF27_A1_211118_cwash	g__Achromobacter	45.76479
GF27_A1_211118_cwash	g__Delftia	4.44674
GF27_A2_211118_cwash	g__Enterococcus	73.35999
GF27_A2_211118_cwash	g__Achromobacter	21.76018
GF27_A2_211118_cwash	g__Erysipelatoclostridium	4.87983
GF27_A3_211118_cwash	g__Erysipelatoclostridium	65.65074
GF27_A3_211118_cwash	g__Enterococcus	31.35165
GF27_A3_211118_cwash	g__Achromobacter	2.99761
GF27_A4_211118_cwash	g__Enterococcus	92.15006
GF27_A4_211118_cwash	g__Achromobacter	7.84994
GF27_A5_211118_cwash	g__Enterococcus	54.20509
GF27_A5_211118_cwash	g__Erysipelatoclostridium	41.74911
GF27_A5_211118_cwash	g__Achromobacter	4.0458
GF27_A6_211118_cwash	g__Enterococcus	52.96187
GF27_A6_211118_cwash	g__Erysipelatoclostridium	38.18877
GF27_A6_211118_cwash	g__Achromobacter	8.84936
GF27_A7_211118_cwash	g__Enterococcus	92.37638
GF27_A7_211118_cwash	g__Achromobacter	7.62362
GF27_A8_211118_cwash	g__Enterococcus	47.96643
GF27_A8_211118_cwash	g__Clostridioides	45.66693
GF27_A8_211118_cwash	g__Erysipelatoclostridium	6.36664
