Sample	Phyla	Abundance
GF26_A1_d101_cwash	Proteobacteria	100
GF26_A1_d65_cwash	Proteobacteria	100
GF26_A2_d101_cwash	Proteobacteria	100
GF26_A2_d149_cwash	Proteobacteria	100
GF26_A3_d101_cwash	Proteobacteria	100
GF26_A3_d149_cwash	Proteobacteria	100
GF26_A4_d101_cwash	Proteobacteria	100
GF26_A4_d146_stool	Proteobacteria	100
GF26_A4_d147_stool	Proteobacteria	100
GF26_A4_d148_stool	Proteobacteria	100
GF26_A4_d65_cwash	Proteobacteria	100
GF26_A5_d101_cwash	Proteobacteria	100
GF26_A7_d65_cwash	Proteobacteria	100
GF26_A9_d149_cwash	Proteobacteria	100
GF26_Adam_d148_stool	Proteobacteria	99.45252
GF26_Adam_d148_stool	Actinobacteria	0.54748
GF26_Adam_d98_stool	Proteobacteria	97.86564
GF26_Adam_d98_stool	Actinobacteria	2.13436
GF26_Bdam_d133_stool	Proteobacteria	97.72492
GF26_Bdam_d133_stool	Actinobacteria	2.27508
GF26_Bdam_d85_stool	Proteobacteria	98.47436
GF26_Bdam_d85_stool	Actinobacteria	1.52564
GF26_Bdam_d91_stool	Proteobacteria	97.16895
GF26_Bdam_d91_stool	Actinobacteria	2.83105
GF26_Cdam_d98_stool	Firmicutes	59.93111
GF26_Cdam_d98_stool	Proteobacteria	40.06889
GF27_A1_d33_cwash	Proteobacteria	90.86936
GF27_A1_d33_cwash	Firmicutes	9.13064
GF27_A2_d33_cwash	Proteobacteria	90.95005
GF27_A2_d33_cwash	Firmicutes	9.04995
GF27_A3_d33_cwash	Proteobacteria	87.5549
GF27_A3_d33_cwash	Firmicutes	12.4451
GF27_A6_d33_cwash	Proteobacteria	92.1319
GF27_A6_d33_cwash	Firmicutes	7.8681
GF27_A7_d33_cwash	Proteobacteria	92.6195
GF27_A7_d33_cwash	Firmicutes	7.3805
GF27_A8_d33_cwash	Proteobacteria	93.28036
GF27_A8_d33_cwash	Firmicutes	6.71964
GF27_GF27_Inoc	Firmicutes	61.13165
GF27_GF27_Inoc	Proteobacteria	38.82905
GF27_GF27_Inoc	Actinobacteria	0.03931
Gn3_6B_dam_210806	Proteobacteria	100
Gn3_6B_dam_210818	Proteobacteria	100
Gn4_G_Innoc	Firmicutes	93.4535
Gn4_G_Innoc	Proteobacteria	6.5465
