Sample	Family	Abundance
GF21_d58_B8_cwash	f__Staphylococcaceae	1.11543
GF21_d58_B9_cwash	f__Enterococcaceae	64.73226
GF21_d58_B9_cwash	f__Alcaligenaceae	34.56194
GF21_d58_B9_cwash	f__Comamonadaceae	0.70581
GF21_d62_Bdam_Stool	f__Enterococcaceae	59.14708
GF21_d62_Bdam_Stool	f__Staphylococcaceae	35.95822
GF21_d62_Bdam_Stool	f__Corynebacteriaceae	4.87622
GF21_d62_Bdam_Stool	f__Alcaligenaceae	0.01849
GF21_d66_C1_cwash	f__Alcaligenaceae	80.89885
GF21_d66_C1_cwash	f__Enterococcaceae	16.49722
GF21_d66_C1_cwash	f__Comamonadaceae	2.60393
GF21_d66_C2_cwash	f__Alcaligenaceae	100.0
GF21_d66_C3_cwash	f__Alcaligenaceae	84.14037
GF21_d66_C3_cwash	f__Enterococcaceae	8.75682
GF21_d66_C3_cwash	f__Comamonadaceae	7.10281
GF21_d66_C4_cwash	f__Alcaligenaceae	92.76501
GF21_d66_C4_cwash	f__Comamonadaceae	4.03815
GF21_d66_C4_cwash	f__Enterococcaceae	3.19684
GF21_d66_C5_cwash	f__Alcaligenaceae	91.45025
GF21_d66_C5_cwash	f__Comamonadaceae	8.54975
GF21_d66_C6_cwash	f__Alcaligenaceae	91.60947
GF21_d66_C6_cwash	f__Enterococcaceae	4.35001
GF21_d66_C6_cwash	f__Comamonadaceae	4.04052
GF21_d66_C7_cwash	f__Alcaligenaceae	91.43758
GF21_d66_C7_cwash	f__Comamonadaceae	4.74068
GF21_d66_C7_cwash	f__Enterococcaceae	3.82174
GF21_d82_A10_Stool	f__Staphylococcaceae	50.839
GF21_d82_A10_Stool	f__Enterococcaceae	45.64736
GF21_d82_A10_Stool	f__Alcaligenaceae	3.51365
GF21_d82_A2_Stool	f__Enterococcaceae	93.62031
GF21_d82_A2_Stool	f__Staphylococcaceae	6.37969
GF21_d82_A7_Stool	f__Enterococcaceae	88.11768
GF21_d82_A7_Stool	f__Staphylococcaceae	9.80281
GF21_d82_A7_Stool	f__Alcaligenaceae	2.07952
GF21_d83_A4_Stool	f__Enterococcaceae	85.95427
GF21_d83_A4_Stool	f__Staphylococcaceae	13.73988
GF21_d83_A4_Stool	f__Alcaligenaceae	0.30585
GF21_d83_A5_Stool	f__Enterococcaceae	95.96786
GF21_d83_A5_Stool	f__Alcaligenaceae	3.22964
GF21_d83_A5_Stool	f__Staphylococcaceae	0.62542
GF21_d83_A5_Stool	f__Comamonadaceae	0.17708
GF21_d83_A8_Stool	f__Enterococcaceae	98.82564
GF21_d83_A8_Stool	f__Alcaligenaceae	0.64027
GF21_d83_A8_Stool	f__Staphylococcaceae	0.53409
GF21_d84_A7_Stool	f__Enterococcaceae	73.15807
GF21_d84_A7_Stool	f__Staphylococcaceae	26.04336
GF21_d84_A7_Stool	f__Alcaligenaceae	0.79857
GF21_d85_A1_cwash	f__Alcaligenaceae	100.0
GF21_d85_A3_cwash	f__Alcaligenaceae	100.0
GF21_d85_A4_cwash	f__Alcaligenaceae	100.0
GF21_d85_A5_cwash	f__Alcaligenaceae	100.0
GF21_d85_A6_cwash	f__Alcaligenaceae	100.0
GF21_d85_A7_cwash	f__Alcaligenaceae	100.0
GF21_d85_A8_cwash	f__Alcaligenaceae	100.0
GF21_d91_B1_Stool	f__Staphylococcaceae	98.06647
GF21_d91_B1_Stool	f__Enterococcaceae	1.87061
GF21_d91_B1_Stool	f__Alcaligenaceae	0.06292
GF21_d91_B2_Stool	f__Staphylococcaceae	94.27672
GF21_d91_B2_Stool	f__Enterococcaceae	5.69119
GF21_d91_B2_Stool	f__Alcaligenaceae	0.03209
GF21_d93_B2_Stool	f__Enterococcaceae	98.9617
GF21_d93_B2_Stool	f__Staphylococcaceae	1.0158
GF21_d93_B2_Stool	f__Alcaligenaceae	0.0225
GF21_d93_B4_Stool	f__Enterococcaceae	57.44478
GF21_d93_B4_Stool	f__Staphylococcaceae	42.55522
GF21_d93_B7_Stool	f__Enterococcaceae	94.25668
GF21_d93_B7_Stool	f__Staphylococcaceae	5.66887
GF21_d93_B7_Stool	f__Alcaligenaceae	0.07445
GF21_d93_B8_Stool	f__Enterococcaceae	67.5231
GF21_d93_B8_Stool	f__Alcaligenaceae	32.4769
GF21_d93_C10_cwash	f__Alcaligenaceae	100.0
GF21_d93_C1_Stool	f__Staphylococcaceae	94.35143
GF21_d93_C1_Stool	f__Enterococcaceae	5.64857
GF21_d93_C2_Stool	f__Enterococcaceae	93.84897
GF21_d93_C2_Stool	f__Staphylococcaceae	6.15103
GF21_d93_C3_Stool	f__Staphylococcaceae	93.55907
GF21_d93_C3_Stool	f__Enterococcaceae	6.38041
GF21_d93_C3_Stool	f__Alcaligenaceae	0.06052
GF21_d93_C4_Stool	f__Staphylococcaceae	93.23081
GF21_d93_C4_Stool	f__Enterococcaceae	6.69513
GF21_d93_C4_Stool	f__Alcaligenaceae	0.07406
GF21_d93_C9_Stool	f__Staphylococcaceae	95.35357
GF21_d93_C9_Stool	f__Enterococcaceae	4.64643
GF21_d94_B2_Stool	f__Enterococcaceae	98.63269
GF21_d94_B2_Stool	f__Alcaligenaceae	1.32112
GF21_d94_B2_Stool	f__Staphylococcaceae	0.04619
GF21_d95_B1_cwash	f__Enterococcaceae	99.35614
GF21_d95_B1_cwash	f__Alcaligenaceae	0.64386
GF21_d95_B2_cwash	f__Enterococcaceae	100.0
GF21_d95_B3_cwash	f__Enterococcaceae	91.6207
GF21_d95_B3_cwash	f__Alcaligenaceae	8.3793
GF21_d95_B4_cwash	f__Alcaligenaceae	94.4457
GF21_d95_B4_cwash	f__Comamonadaceae	5.5543
GF21_d95_B6_cwash	f__Enterococcaceae	87.70254
GF21_d95_B6_cwash	f__Alcaligenaceae	12.29746
GF21_d95_B7_cwash	f__Enterococcaceae	73.38341
GF21_d95_B7_cwash	f__Alcaligenaceae	26.61659
GF21_d95_B9_cwash	f__Enterococcaceae	94.85953
GF21_d95_B9_cwash	f__Alcaligenaceae	5.14047
GF21_d95_C1_cwash	f__Enterococcaceae	97.69021
GF21_d95_C1_cwash	f__Alcaligenaceae	2.30979
GF21_d95_C2_cwash	f__Alcaligenaceae	51.34693
GF21_d95_C2_cwash	f__Enterococcaceae	48.65307
GF21_d95_C3_cwash	f__Enterococcaceae	100.0
GF21_d95_C4_cwash	f__Enterococcaceae	96.75009
GF21_d95_C4_cwash	f__Alcaligenaceae	3.24991
GF21_d95_C5_cwash	f__Enterococcaceae	97.77618
GF21_d95_C5_cwash	f__Alcaligenaceae	2.22382
GF21_d95_C8_cwash	f__Alcaligenaceae	100.0
GF21_d95_C9_cwash	f__Staphylococcaceae	61.75661
GF21_d95_C9_cwash	f__Alcaligenaceae	38.24339
GF27_A1_211118_cwash	f__Enterococcaceae	49.78847
GF27_A1_211118_cwash	f__Alcaligenaceae	45.76479
GF27_A1_211118_cwash	f__Comamonadaceae	4.44674
GF27_A2_211118_cwash	f__Enterococcaceae	73.35999
GF27_A2_211118_cwash	f__Alcaligenaceae	21.76018
GF27_A2_211118_cwash	f__Erysipelotrichaceae	4.87983
GF27_A3_211118_cwash	f__Erysipelotrichaceae	65.65074
GF27_A3_211118_cwash	f__Enterococcaceae	31.35165
GF27_A3_211118_cwash	f__Alcaligenaceae	2.99761
GF27_A4_211118_cwash	f__Enterococcaceae	92.15006
GF27_A4_211118_cwash	f__Alcaligenaceae	7.84994
GF27_A5_211118_cwash	f__Enterococcaceae	54.20509
GF27_A5_211118_cwash	f__Erysipelotrichaceae	41.74911
GF27_A5_211118_cwash	f__Alcaligenaceae	4.0458
GF27_A6_211118_cwash	f__Enterococcaceae	52.96187
GF27_A6_211118_cwash	f__Erysipelotrichaceae	38.18877
GF27_A6_211118_cwash	f__Alcaligenaceae	8.84936
GF27_A7_211118_cwash	f__Enterococcaceae	92.37638
GF27_A7_211118_cwash	f__Alcaligenaceae	7.62362
GF27_A8_211118_cwash	f__Enterococcaceae	47.96643
GF27_A8_211118_cwash	f__Peptostreptococcaceae	45.66693
GF27_A8_211118_cwash	f__Erysipelotrichaceae	6.36664
