Sample	f__Actinomycetaceae	f__Akkermansiaceae	f__Bacillales_unclassified	f__Bacteroidaceae	f__Bifidobacteriaceae	f__Campylobacteraceae	f__Clostridiaceae	f__Corynebacteriaceae	f__Dermabacteraceae	f__Eggerthellaceae	f__Enterobacteriaceae	f__Enterococcaceae	f__Erysipelotrichaceae	f__Fusobacteriaceae	f__Lachnospiraceae	f__Lactobacillaceae	f__Morganellaceae	f__Mycobacteriaceae	f__Oscillospiraceae	f__Peptoniphilaceae	f__Peptostreptococcaceae	f__Propionibacteriaceae	f__Proteobacteria_unclassified	f__Pseudomonadaceae	f__Ruminococcaceae	f__Sphingomonadaceae	f__Staphylococcaceae	f__Streptococcaceae	f__Sutterellaceae	f__Veillonellaceae	f__Yersiniaceae
C1-d53	0	0	0	0	0	0	58.00655	0	0	0	7.30562	1.46484	16.9789	0	0	0	0.82942	0	0	0	9.53333	0	0	0	0	0	0	0	0	5.88135	0
C19	0.91754	0	0	0	0	1.11509	66.49619	0	0	0	3.2253	1.54636	14.51288	0	0	0	0.71221	0	0	1.58305	6.22421	0	0	0	0	0	0	0	0	3.66717	0
C2-colon	0.05664	0	0	0	0	0	65.17113	0	0	0	3.8752	0.80869	15.92951	0	0	0	0.57164	0	0	0	9.24325	0	0	0	0	0	0	0	0	4.34394	0
C2-d33	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C2-d37	0	0	0	0	0	0	11.06001	0	0	0	69.08031	11.64609	4.3921	0	0	0	0	0	0	0	3.82149	0	0	0	0	0	0	0	0	0	0
C2-d44	0	0	0	0	0	0	66.08278	0	0	0	10.55184	1.43903	13.46237	0	0	0	0.61562	0	0	0	7.84836	0	0	0	0	0	0	0	0	0	0
C2-d45	0	0	0	0	0	0	44.67912	0	0	0	8.581	3.23379	33.57691	0	0	0	0.63107	0	0	0	9.29811	0	0	0	0	0	0	0	0	0	0
C2-d49	0	0	0	0	0	0	58.36206	0	0	0	9.2586	1.92929	23.59549	0	0	0	1.27804	0	0	0	2.96095	0	0	0	0	0	0	0	0	2.61558	0
C2-d53	0	0	0	0	0	0	58.11037	0	0	0	6.22239	1.16338	16.25061	0	0	0	0.97241	0	0	0	11.58651	0	0	0	0	0	0	0	0	5.69433	0
C3	0	0	0	0	0	0	52.88168	0	0	0	16.43715	2.04457	12.8492	0	0	0	3.14687	0	0	0	11.02796	0	0	0	0	0	0	0	0	1.61258	0
C3-colon	0	0	0	0	0	0	63.23505	0	0	0	2.28081	1.16085	18.51596	0	0	0	0.05019	0	0	0	11.57998	0	0	0	0	0	0	0	0	3.17716	0
C3-d33	0	0	0	0	0	0	0.04759	0	0	0	97.0409	2.77912	0	0	0	0	0	0	0	0	0.13239	0	0	0	0	0	0	0	0	0	0
C3-d44	0	0	0	0	0	0	61.01174	0	0	0	9.68663	1.1243	19.78618	0	0	0	0.34559	0	0	0	8.04556	0	0	0	0	0	0	0	0	0	0
C3-d45	0	0	0	0	0	0	58.7867	0	0	0	11.98153	1.22467	16.33307	0	0	0	0.8138	0	0	0	10.86022	0	0	0	0	0	0	0	0	0	0
