Sample	taxa	abundance
C8-d38	c__Clostridia	38.32331
C8-d38	c__Bacilli	21.67674
C8-d38	c__Erysipelotrichia	20.88168
C8-d38	c__Gammaproteobacteria	19.11827
C8-d44	c__Clostridia	58.50809
C8-d44	c__Erysipelotrichia	25.0592
C8-d44	c__Gammaproteobacteria	12.32621
C8-d44	c__Bacilli	4.1065
C8-d45	c__Clostridia	69.05419
C8-d45	c__Erysipelotrichia	22.60384
C8-d45	c__Gammaproteobacteria	5.84475
C8-d45	c__Bacilli	2.49721
C8-d53	c__Clostridia	71.73469
C8-d53	c__Erysipelotrichia	15.57288
C8-d53	c__Gammaproteobacteria	5.85754
C8-d53	c__Negativicutes	5.70629
C8-d53	c__Bacilli	1.12861
CONV_MERO1_COLON	c__Bacilli	51.80815
CONV_MERO1_COLON	c__Bacteroidia	32.01625
CONV_MERO1_COLON	c__Clostridia	16.1756
CONV_MERO1_D0	c__Bacilli	44.97985
CONV_MERO1_D0	c__Verrucomicrobiae	43.61721
CONV_MERO1_D0	c__Bacteroidia	5.81218
CONV_MERO1_D0	c__Clostridia	5.59076
CONV_MERO1_D1	c__Bacilli	89.60055
CONV_MERO1_D1	c__Verrucomicrobiae	9.79566
CONV_MERO1_D1	c__Clostridia	0.33459
CONV_MERO1_D1	c__Bacteroidia	0.26921
CONV_MERO1_D3	c__Bacilli	96.84139
CONV_MERO1_D3	c__Clostridia	3.15861
CONV_MERO2_COLON	c__Bacilli	43.21215
CONV_MERO2_COLON	c__Clostridia	42.2165
CONV_MERO2_COLON	c__Bacteroidia	14.57135
CONV_MERO2_D0	c__Verrucomicrobiae	48.21463
CONV_MERO2_D0	c__Bacilli	30.49291
CONV_MERO2_D0	c__Bacteroidia	10.64572
CONV_MERO2_D0	c__Clostridia	10.44391
CONV_MERO2_D0	c__Gammaproteobacteria	0.20283
CONV_MERO2_D3	c__Bacilli	99.69623
CONV_MERO2_D3	c__Clostridia	0.30377
CONV_MERO3_COLON	c__Bacteroidia	94.05712
CONV_MERO3_COLON	c__Bacilli	4.56523
CONV_MERO3_COLON	c__Clostridia	1.37764
CONV_MERO3_D1	c__Bacilli	49.58784
CONV_MERO3_D1	c__Bacteroidia	26.41518
CONV_MERO3_D1	c__Clostridia	23.99699
CONV_MERO3_D3	c__Bacteroidia	90.40058
CONV_MERO3_D3	c__Clostridia	5.41554
CONV_MERO3_D3	c__Bacilli	4.18388
CONV_MERO4_COLON	c__Bacilli	43.26364
CONV_MERO4_COLON	c__Clostridia	32.57173
CONV_MERO4_COLON	c__Bacteroidia	24.16463
CONV_MERO4_D0	c__Bacteroidia	77.75885
CONV_MERO4_D0	c__Bacilli	9.77129
CONV_MERO4_D0	c__Verrucomicrobiae	7.97338
CONV_MERO4_D0	c__Clostridia	3.43882
CONV_MERO4_D0	c__Betaproteobacteria	1.05766
CONV_MERO4_D1	c__Clostridia	99.64668
CONV_MERO4_D1	c__Bacilli	0.35332
CONV_MERO4_D3	c__Clostridia	67.88715
CONV_MERO4_D3	c__Bacilli	32.11285
CONV_PBS1_COLON	c__Clostridia	49.16072
CONV_PBS1_COLON	c__Bacteroidia	33.8989
CONV_PBS1_COLON	c__Verrucomicrobiae	7.51078
CONV_PBS1_COLON	c__Bacilli	6.98937
CONV_PBS1_COLON	c__Betaproteobacteria	2.44024
CONV_PBS1_D0	c__Verrucomicrobiae	74.77864
CONV_PBS1_D0	c__Bacilli	19.54352
CONV_PBS1_D0	c__Clostridia	4.33203
CONV_PBS1_D0	c__Bacteroidia	1.34581
CONV_PBS1_D3	c__Bacteroidia	70.6241
CONV_PBS1_D3	c__Verrucomicrobiae	13.09525
CONV_PBS1_D3	c__Clostridia	9.70827
CONV_PBS1_D3	c__Bacilli	3.35597
CONV_PBS1_D3	c__Gammaproteobacteria	1.64461
CONV_PBS1_D3	c__Betaproteobacteria	1.57181
CONV_PBS2_COLON	c__Bacteroidia	60.23488
CONV_PBS2_COLON	c__Clostridia	29.74769
CONV_PBS2_COLON	c__Verrucomicrobiae	6.6942
CONV_PBS2_COLON	c__Betaproteobacteria	1.89022
CONV_PBS2_COLON	c__Bacilli	1.433
CONV_PBS2_D1	c__Bacteroidia	51.79965
CONV_PBS2_D1	c__Verrucomicrobiae	21.99303
CONV_PBS2_D1	c__Clostridia	13.52174
CONV_PBS2_D1	c__Bacilli	7.94678
CONV_PBS2_D1	c__Betaproteobacteria	3.508
CONV_PBS2_D1	c__Gammaproteobacteria	1.12966
CONV_PBS2_D1	c__Proteobacteria_unclassified	0.10116
CONV_PBS2_D3	c__Bacteroidia	74.31692
CONV_PBS2_D3	c__Verrucomicrobiae	12.72496
CONV_PBS2_D3	c__Clostridia	7.65862
CONV_PBS2_D3	c__Bacilli	3.14713
CONV_PBS2_D3	c__Betaproteobacteria	2.15237
CONV_PBS3_COLON	c__Bacteroidia	47.30147
CONV_PBS3_COLON	c__Clostridia	46.59387
CONV_PBS3_COLON	c__Verrucomicrobiae	5.25609
CONV_PBS3_COLON	c__Betaproteobacteria	0.84857
CONV_PBS3_D1	c__Clostridia	34.88361
CONV_PBS3_D1	c__Erysipelotrichia	22.16733
CONV_PBS3_D1	c__Bacteroidia	13.9034
CONV_PBS3_D1	c__Verrucomicrobiae	11.0466
CONV_PBS3_D1	c__Bacilli	7.62189
CONV_PBS3_D1	c__Gammaproteobacteria	5.56644
CONV_PBS3_D1	c__Tissierellia	4.01006
CONV_PBS3_D1	c__Betaproteobacteria	0.80066
CONV_PBS4_COLON	c__Bacteroidia	54.79447
CONV_PBS4_COLON	c__Clostridia	29.27232
CONV_PBS4_COLON	c__Verrucomicrobiae	13.50345
CONV_PBS4_COLON	c__Betaproteobacteria	2.42976
CONV_PBS4_D0	c__Bacteroidia	76.86505
CONV_PBS4_D0	c__Verrucomicrobiae	14.99767
CONV_PBS4_D0	c__Clostridia	5.39144
CONV_PBS4_D0	c__Bacilli	1.35989
CONV_PBS4_D0	c__Betaproteobacteria	1.17127
CONV_PBS4_D0	c__Gammaproteobacteria	0.21468
CONV_PBS4_D1	c__Bacteroidia	63.7768
CONV_PBS4_D1	c__Clostridia	18.15167
CONV_PBS4_D1	c__Verrucomicrobiae	15.74604
CONV_PBS4_D1	c__Betaproteobacteria	1.83929
CONV_PBS4_D1	c__Gammaproteobacteria	0.27939
CONV_PBS4_D1	c__Bacilli	0.13255
CONV_PBS4_D1	c__Proteobacteria_unclassified	0.07425
CONV_PBS4_D3	c__Bacteroidia	75.19666
CONV_PBS4_D3	c__Verrucomicrobiae	14.06691
CONV_PBS4_D3	c__Clostridia	5.49936
CONV_PBS4_D3	c__Bacilli	2.78885
CONV_PBS4_D3	c__Betaproteobacteria	2.29928
CONV_PBS4_D3	c__Proteobacteria_unclassified	0.10446
CONV_PBS4_D3	c__Gammaproteobacteria	0.04449
GF1_A10	c__Clostridia	61.02846
GF1_A10	c__Erysipelotrichia	19.24484
GF1_A10	c__Gammaproteobacteria	11.09603
GF1_A10	c__Tissierellia	2.85365
GF1_A10	c__Bacilli	2.73172
GF1_A10	c__Negativicutes	2.66641
GF1_A10	c__Actinobacteria	0.37889
GF1_B_mom_d32	c__Clostridia	55.94312
GF1_B_mom_d32	c__Erysipelotrichia	20.10749
GF1_B_mom_d32	c__Gammaproteobacteria	6.54682
GF1_B_mom_d32	c__Negativicutes	5.29674
GF1_B_mom_d32	c__Tissierellia	4.00878
GF1_B_mom_d32	c__Bacilli	3.3564
GF1_B_mom_d32	c__Actinobacteria	2.61501
GF1_B_mom_d32	c__Epsilonproteobacteria	2.12565
GF1_B10	c__Clostridia	51.10186
GF1_B10	c__Erysipelotrichia	31.11821
GF1_B10	c__Gammaproteobacteria	9.01956
GF1_B10	c__Negativicutes	4.14865
GF1_B10	c__Bacilli	2.79574
GF1_B10	c__Tissierellia	0.96112
GF1_B10	c__Epsilonproteobacteria	0.85487
GF1_B14	c__Clostridia	75.82995
GF1_B14	c__Erysipelotrichia	14.19298
GF1_B14	c__Gammaproteobacteria	3.45688
GF1_B14	c__Negativicutes	3.20471
GF1_B14	c__Bacilli	1.83001
GF1_B14	c__Epsilonproteobacteria	0.86091
GF1_B14	c__Tissierellia	0.62456
GF1_B17	c__Clostridia	60.46195
GF1_B17	c__Erysipelotrichia	19.29567
GF1_B17	c__Gammaproteobacteria	7.25958
GF1_B17	c__Negativicutes	4.77978
GF1_B17	c__Bacilli	2.36627
GF1_B17	c__Tissierellia	2.2964
GF1_B17	c__Epsilonproteobacteria	1.77103
GF1_B17	c__Actinobacteria	1.76933
GF1_B25	c__Clostridia	64.06079
GF1_B25	c__Erysipelotrichia	15.91911
GF1_B25	c__Negativicutes	4.90961
GF1_B25	c__Gammaproteobacteria	4.6133
GF1_B25	c__Tissierellia	3.95711
GF1_B25	c__Actinobacteria	3.11903
GF1_B25	c__Epsilonproteobacteria	1.76194
GF1_B25	c__Bacilli	1.65911
GF1_B3_d38	c__Clostridia	59.13489
GF1_B3_d38	c__Erysipelotrichia	31.03343
GF1_B3_d38	c__Gammaproteobacteria	6.85241
GF1_B3_d38	c__Tissierellia	2.11314
GF1_B3_d38	c__Bacilli	0.67903
GF1_B3_d38	c__Actinobacteria	0.18711
GF1_B5_D38	c__Clostridia	57.2443
GF1_B5_D38	c__Erysipelotrichia	33.25909
GF1_B5_D38	c__Gammaproteobacteria	7.16899
GF1_B5_D38	c__Bacilli	2.32762
GF1_B6_d38	c__Clostridia	66.4014
GF1_B6_d38	c__Erysipelotrichia	25.98555
GF1_B6_d38	c__Gammaproteobacteria	5.85102
GF1_B6_d38	c__Bacilli	1.76203
GF1_B7_D38	c__Clostridia	70.22904
GF1_B7_D38	c__Erysipelotrichia	21.93516
GF1_B7_D38	c__Gammaproteobacteria	4.88654
GF1_B7_D38	c__Bacilli	2.94926
GF1_C_mom_d32	c__Clostridia	66.64622
GF1_C_mom_d32	c__Erysipelotrichia	17.44232
GF1_C_mom_d32	c__Gammaproteobacteria	3.97899
GF1_C_mom_d32	c__Negativicutes	3.74119
GF1_C_mom_d32	c__Tissierellia	3.72307
GF1_C_mom_d32	c__Actinobacteria	2.57628
