Sample	Order	Abundance
GF24_B4_d74_cwash	Clostridiales	5.30949
GF24_B4_d74_cwash	Erysipelotrichales	0.86179
GF24_B4_d74_cwash	Lactobacillales	0.5879
GF24_B4_d74_cwash	Burkholderiales	0.03898
GF24_B5_33_cwash	Enterobacterales	67.23931
GF24_B5_33_cwash	Erysipelotrichales	18.86976
GF24_B5_33_cwash	Clostridiales	13.89093
GF24_B6_33_cwash	Enterobacterales	76.43131
GF24_B6_33_cwash	Erysipelotrichales	19.17581
GF24_B6_33_cwash	Clostridiales	3.87467
GF24_B6_33_cwash	Lactobacillales	0.51822
GF24_B7_33_cwash	Enterobacterales	60.30554
GF24_B7_33_cwash	Erysipelotrichales	26.54279
GF24_B7_33_cwash	Clostridiales	13.15167
GF24_Bdam_d114_stool	Clostridiales	38.58555
GF24_Bdam_d114_stool	Enterobacterales	32.85452
GF24_Bdam_d114_stool	Lactobacillales	18.05856
GF24_Bdam_d114_stool	Erysipelotrichales	9.05524
GF24_Bdam_d114_stool	Tissierellales	1.44612
GF24_C10_d86_cwash	Enterobacterales	87.1993
GF24_C10_d86_cwash	Clostridiales	9.5774
GF24_C10_d86_cwash	Lactobacillales	1.44544
GF24_C10_d86_cwash	Erysipelotrichales	1.40888
GF24_C10_d86_cwash	Burkholderiales	0.36899
GF24_C1_37_stool	Enterobacterales	96.28582
GF24_C1_37_stool	Clostridiales	2.00419
GF24_C1_37_stool	Lactobacillales	1.70999
GF24_C1_39_cwash	Lactobacillales	91.71634
GF24_C1_39_cwash	Enterobacterales	5.60992
GF24_C1_39_cwash	Erysipelotrichales	2.67374
GF24_C1_d108_cwash	Enterobacterales	93.72884
GF24_C1_d108_cwash	Burkholderiales	6.27116
GF24_C1_d129_cwash	Enterobacterales	98.23737
GF24_C1_d129_cwash	Burkholderiales	1.3381
GF24_C1_d129_cwash	Clostridiales	0.27134
GF24_C1_d129_cwash	Lactobacillales	0.12746
GF24_C1_d129_cwash	Erysipelotrichales	0.02572
GF24_C2_39_cwash	Lactobacillales	69.26263
GF24_C2_39_cwash	Clostridiales	16.47843
GF24_C2_39_cwash	Erysipelotrichales	8.57773
GF24_C2_39_cwash	Enterobacterales	5.68121
GF24_C2_d108_cwash	Enterobacterales	84.2684
GF24_C2_d108_cwash	Clostridiales	7.63429
GF24_C2_d108_cwash	Erysipelotrichales	6.40381
GF24_C2_d108_cwash	Lactobacillales	0.86403
GF24_C2_d108_cwash	Burkholderiales	0.82947
GF24_C2_d129_cwash	Enterobacterales	95.66632
GF24_C2_d129_cwash	Burkholderiales	4.33368
GF24_C2_d86_cwash	Enterobacterales	91.11717
GF24_C2_d86_cwash	Clostridiales	4.80714
GF24_C2_d86_cwash	Erysipelotrichales	2.08909
GF24_C2_d86_cwash	Lactobacillales	1.8642
GF24_C2_d86_cwash	Burkholderiales	0.1224
GF24_C3_37_stool	Enterobacterales	96.63909
GF24_C3_37_stool	Lactobacillales	2.39829
GF24_C3_37_stool	Clostridiales	0.96263
GF24_C3_38_cwash	Lactobacillales	90.05915
GF24_C3_38_cwash	Enterobacterales	9.94085
GF24_C3_d108_cwash	Enterobacterales	99.38236
GF24_C3_d108_cwash	Burkholderiales	0.61764
GF24_C3_d129_cwash	Enterobacterales	91.14841
GF24_C3_d129_cwash	Burkholderiales	5.97903
GF24_C3_d129_cwash	Clostridiales	2.47184
GF24_C3_d129_cwash	Erysipelotrichales	0.40071
GF24_C3_d85_stool	Enterobacterales	98.7291
GF24_C3_d85_stool	Lactobacillales	0.64769
GF24_C3_d85_stool	Clostridiales	0.62321
GF24_C3_d86_cwash	Enterobacterales	80.11221
GF24_C3_d86_cwash	Clostridiales	14.04902
GF24_C3_d86_cwash	Lactobacillales	4.22075
GF24_C3_d86_cwash	Burkholderiales	0.87563
GF24_C3_d86_cwash	Erysipelotrichales	0.74238
GF24_C4_37_stool	Enterobacterales	88.71129
GF24_C4_37_stool	Clostridiales	7.89521
GF24_C4_37_stool	Lactobacillales	3.39349
GF24_C4_38_cwash	Lactobacillales	80.81278
GF24_C4_38_cwash	Clostridiales	12.17629
GF24_C4_38_cwash	Enterobacterales	3.56893
GF24_C4_38_cwash	Erysipelotrichales	3.44199
GF24_C4_38_stool	Erysipelotrichales	71.69424
GF24_C4_38_stool	Enterobacterales	28.30576
GF24_C4_d108_cwash	Enterobacterales	90.9051
GF24_C4_d108_cwash	Burkholderiales	7.67027
GF24_C4_d108_cwash	Clostridiales	1.13126
GF24_C4_d108_cwash	Erysipelotrichales	0.29337
GF24_C4_d129_cwash	Enterobacterales	96.1526
GF24_C4_d129_cwash	Burkholderiales	1.44216
GF24_C4_d129_cwash	Clostridiales	1.25354
GF24_C4_d129_cwash	Lactobacillales	1.1517
GF24_C4_d86_cwash	Enterobacterales	88.93862
GF24_C4_d86_cwash	Lactobacillales	5.44855
GF24_C4_d86_cwash	Burkholderiales	4.175
GF24_C4_d86_cwash	Erysipelotrichales	0.99128
GF24_C4_d86_cwash	Clostridiales	0.44655
GF24_C5_36_stool	Enterobacterales	99.15305
GF24_C5_36_stool	Lactobacillales	0.84695
GF24_C5_38_stool	Lactobacillales	81.5583
GF24_C5_38_stool	Erysipelotrichales	18.4417
GF24_C5_d108_cwash	Enterobacterales	94.0119
GF24_C5_d108_cwash	Burkholderiales	5.85184
GF24_C5_d108_cwash	Lactobacillales	0.13626
GF24_C5_d129_cwash	Enterobacterales	96.35221
GF24_C5_d129_cwash	Clostridiales	2.6417
GF24_C5_d129_cwash	Burkholderiales	0.91308
GF24_C5_d129_cwash	Lactobacillales	0.093
GF24_C5_d85_stool	Enterobacterales	98.76096
GF24_C5_d85_stool	Lactobacillales	0.8457
GF24_C5_d85_stool	Clostridiales	0.34547
GF24_C5_d85_stool	Burkholderiales	0.04787
GF24_C5_d86_cwash	Enterobacterales	77.64129
GF24_C5_d86_cwash	Burkholderiales	19.05775
