Sample,Enterococcus,Anaerococcus,Varibaculum,Finegoldia,Bifidobacterium,Escherichia,Streptococcus,Clostridium,Citrobacter,Staphylococcus,Veillonella,Morganella,Pseudomonas,Clostridioides,Erysipelatoclostridium,Proteus,Klebsiella,Achromobacter,Enterobacter,Dermabacter,Peptoniphilus,Campylobacter,Gemella,Bacteroides,Akkermansia,Lactobacillus,Blautia,Lachnoclostridium,Parasutterella,Proteobacteria_unclassified,Turicimonas,Sphingomonas,Negativicoccus,Actinomyces,Corynebacterium,Aeriscardovia,Mycobacteroides,Lachnospiraceae_unclassified,Acutalibacter,Anaerotruncus,Dorea,Enterorhabdus,Oscillibacter,Cutibacterium,Fusobacterium,Serratia,Leclercia,Pedobacter,Delftia,Paenibacillus,Acinetobacter
GF24_A5_d108_cwash,0.28981,0,0,0,0,0,0,8.6685,0,0,0,0,0,0.51196,0.85849,0,88.21968,1.45155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF24_A5_d131_cwash,2.14237,0,0,0,0,0,0,0,0,0,0,0,0,0.72201,0,11.6068,85.1713,0.35751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF24_A5_d74_cwash,0.30118,0,0,0,0,0,0,7.66008,0,0,0,0,0,1.06605,3.65708,1.6214,85.60749,0.08672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF24_A6_36_stool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF24_A6_39_cwash,1.36928,0,0,0,0,32.67839,0,46.18992,0,0,0,0,0,12.66939,7.09301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF24_A6_d108_cwash,0,0,0,0,0,0,0,0.16753,0,0,0,0,0,0,0,0,98.73138,1.10109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF24_A6_d131_cwash,0,0,0,0,0,0,0,10.87601,0,0,0,0,0,0,2.36883,0,85.83034,0.92482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF24_A6_d74_cwash,0,0,0,0,0,36.18061,0,0,0,0,0,0,0,0,0,1.45475,60.70789,1.65675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF24_A7_36_stool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF24_A7_37_stool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
