Sample	Class	Abundance
GF24_A9_d108_cwash	Bacilli	2.19589
GF24_A9_d108_cwash	Clostridia	1.45036
GF24_A9_d108_cwash	Betaproteobacteria	0.04864
GF24_A9_d131_cwash	Gammaproteobacteria	98.95977
GF24_A9_d131_cwash	Betaproteobacteria	0.57456
GF24_A9_d131_cwash	Bacilli	0.41796
GF24_A9_d131_cwash	Clostridia	0.0477
GF24_Adam_d100_stool	Gammaproteobacteria	39.25376
GF24_Adam_d100_stool	Clostridia	25.81957
GF24_Adam_d100_stool	Bacilli	14.36591
GF24_Adam_d100_stool	Actinobacteria	10.66965
GF24_Adam_d100_stool	Erysipelotrichia	6.96767
GF24_Adam_d100_stool	Tissierellia	2.92344
GF24_B1_33_cwash	Gammaproteobacteria	73.67745
GF24_B1_33_cwash	Clostridia	13.34926
GF24_B1_33_cwash	Erysipelotrichia	12.97329
GF24_B1_64_cwash	Clostridia	50.16676
GF24_B1_64_cwash	Gammaproteobacteria	39.56651
GF24_B1_64_cwash	Erysipelotrichia	6.94088
GF24_B1_64_cwash	Bacilli	3.32586
GF24_B2_33_cwash	Gammaproteobacteria	73.51365
GF24_B2_33_cwash	Clostridia	20.87748
GF24_B2_33_cwash	Erysipelotrichia	5.50348
GF24_B2_33_cwash	Bacilli	0.10538
GF24_B2_64_cwash	Clostridia	55.68899
GF24_B2_64_cwash	Gammaproteobacteria	28.77639
GF24_B2_64_cwash	Erysipelotrichia	11.91985
GF24_B2_64_cwash	Bacilli	3.61477
GF24_B2_d74_cwash	Gammaproteobacteria	88.02068
GF24_B2_d74_cwash	Clostridia	8.82557
GF24_B2_d74_cwash	Bacilli	2.82407
GF24_B2_d74_cwash	Betaproteobacteria	0.32969
GF24_B3_33_cwash	Gammaproteobacteria	72.52749
GF24_B3_33_cwash	Clostridia	20.50085
GF24_B3_33_cwash	Erysipelotrichia	6.55996
GF24_B3_33_cwash	Bacilli	0.41171
GF24_B3_64_cwash	Clostridia	59.16276
GF24_B3_64_cwash	Gammaproteobacteria	24.34786
GF24_B3_64_cwash	Erysipelotrichia	14.98928
GF24_B3_64_cwash	Bacilli	1.5001
GF24_B3_d74_cwash	Gammaproteobacteria	98.91517
GF24_B3_d74_cwash	Bacilli	0.477
GF24_B3_d74_cwash	Erysipelotrichia	0.38916
GF24_B3_d74_cwash	Clostridia	0.21867
GF24_B4_33_cwash	Gammaproteobacteria	75.9623
GF24_B4_33_cwash	Clostridia	18.31976
GF24_B4_33_cwash	Erysipelotrichia	4.49591
GF24_B4_33_cwash	Bacilli	1.22202
GF24_B4_d73_stool	Gammaproteobacteria	99.5613
GF24_B4_d73_stool	Bacilli	0.4387
GF24_B4_d74_cwash	Gammaproteobacteria	93.20183
GF24_B4_d74_cwash	Clostridia	5.30949
GF24_B4_d74_cwash	Erysipelotrichia	0.86179
GF24_B4_d74_cwash	Bacilli	0.5879
GF24_B4_d74_cwash	Betaproteobacteria	0.03898
GF24_B5_33_cwash	Gammaproteobacteria	67.23931
GF24_B5_33_cwash	Erysipelotrichia	18.86976
