feature	Klebsiella	Achromobacter	Escherichia	Enterococcus	Pedobacter	Delftia	Paenibacillus	Acinetobacter	Clostridium	Erysipelatoclostridium	Clostridioides	Veillonella	Proteus	Citrobacter	Peptoniphilus	Campylobacter	Varibaculum	Finegoldia	Gemella	Bacteroides	Akkermansia	Lactobacillus	Blautia	Lachnoclostridium	Parasutterella	Proteobacteria_unclassified	Turicimonas	Streptococcus	Staphylococcus	Sphingomonas	Anaerococcus	Bifidobacterium	Morganella	Negativicoccus	Actinomyces	Corynebacterium	Dermabacter	Aeriscardovia	Mycobacteroides	Lachnospiraceae_unclassified	Acutalibacter	Anaerotruncus	Dorea	Enterorhabdus	Oscillibacter	Pseudomonas	Ruthenibacterium	Enterobacter	Cutibacterium	Serratia	Leclercia	Dysgonomonas	Collinsella	Gleimia	Fusobacterium	GGB9832	Bacillus	Burkholderia
GF6_A3_D53	0.606370960637096	NA	0.0222851022285102	0.0346347034634703	NA	NA	NA	NA	0.234946523494652	NA	0.0395213039521304	NA	NA	0.0160355016035502	NA	NA	NA	0.0240551024055102	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0221508022150802	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GF6_A4_D53	0.300321730032173	NA	0.453972145397215	0.0785671078567108	NA	NA	NA	NA	0.115250611525061	NA	0.0252405025240503	NA	NA	NA	NA	NA	NA	0.00163220016322002	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0250157025015703	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GF6_A6_D53	0.425471842547184	NA	0.0217907021790702	0.121282512128251	NA	NA	NA	NA	0.0523521052352105	NA	0.0682904068290407	NA	NA	0.294438429443843	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00913110091311009	0.00724290072429007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GF6_A6_D88	0.8991839	NA	NA	0.1008161	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GF6_A8_D52	0.2181012	NA	0.7054093	0.0764895	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GF6_A8_D53	0.2351399	NA	0.0673363	0.0511683	NA	NA	NA	NA	0.393345	NA	0.1435868	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0366071	0.0728166	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GF6_A8_D89	0.0873932912606709	NA	0.141333485866651	0.0393473960652604	NA	NA	NA	NA	0.450602154939785	NA	0.0677908932209107	NA	NA	0.161571983842802	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00512179948782005	0.0468389953161005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GF6_B1_D64	0.0748369074836907	NA	NA	0.0195817019581702	NA	NA	NA	NA	0.00628090062809006	NA	0.00133740013374001	NA	NA	0.878345787834579	NA	NA	NA	0.000458400045840005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0191589019158902	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GF6_B1_D89	0.0522418947758105	NA	0.00445589955441004	0.140160885983911	NA	NA	NA	NA	0.183975881602412	NA	0.0314345968565403	NA	NA	0.00546019945398005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.582270641772936	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GF6_B10_D64	NA	NA	NA	0.0450205	NA	NA	NA	NA	0.0218546	NA	0.0039942	NA	NA	0.9196378	NA	NA	NA	0.0007735	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0087194	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
